station_id,lon,lat,true,pred,error,variance
59063,111.57,25.18,52.8903,41.92925652886772,-10.961043471132285,44.045681678205284
57978,112.55,25.27,43.7716,39.390142396468725,-4.381457603531274,44.82106339636761
57969,111.31,25.28,50.6321,43.41400038849072,-7.218099611509281,44.69906752985335
57975,112.17,25.4,56.7816,43.765484178805316,-13.016115821194681,44.90875779568151
57976,112.94,25.41,36.9028,41.971220978233866,5.068420978233867,44.51148059647724
57985,113.68,25.51,45.0605,38.24394524585476,-6.816554754145237,44.11940058272401
57965,111.6,25.53,41.9245,45.154289622882914,3.2297896228829117,43.899252319728824
57974,112.37,25.58,44.5623,43.77980867641173,-0.7824913235882676,43.244792199410085
57966,111.96,25.59,55.4696,45.59865114966244,-9.870948850337562,44.34150356481405
57972,112.98,25.74,46.1373,46.05198252834787,-0.08531747165213233,43.02836932837
57973,112.72,25.75,43.4905,43.67651917005992,0.18601917005992163,43.15453829280709
57971,112.21,25.91,48.8385,45.49747046709477,-3.3410295329052317,44.133429162384935
57981,113.22,25.97,55.6598,48.44076023985595,-7.2190397601440495,43.83926739573778
57962,111.66,26.03,59.9352,46.360362586352466,-13.574837413647536,44.6708983470341
57889,113.94,26.08,36.1514,36.928960080514614,0.7775600805146112,44.48633627226353
57887,113.11,26.12,49.1368,48.480815129439904,-0.655984870560097,43.75478003000274
57845,109.78,26.17,43.0977,39.48768204649221,-3.6100179535077928,45.27596863607674
57866,111.62,26.23,48.2504,47.07625521854833,-1.1741447814516661,44.58781135177244
57857,110.31,26.37,41.438,37.944426101490514,-3.4935738985094886,44.44511892086494
57867,111.29,26.4,46.5962,46.24495812247948,-0.35124187752052194,45.04669345956335
57874,112.39,26.41,54.8883,48.79310762043328,-6.095192379566718,42.82696817301517
57876,112.83,26.43,43.4777,48.97755258166025,5.4998525816602495,43.57510198540598
57851,110.83,26.46,53.3335,42.58364964713791,-10.74985035286209,45.38081474388463
57886,113.79,26.48,34.0408,41.14453407142031,7.1037340714203125,43.06639387613505
57865,111.62,26.5,52.9886,45.460059407819365,-7.528540592180633,43.93197048410144
57868,111.86,26.55,49.7451,47.26842982692354,-2.4766701730764638,43.72453664198215
57841,109.67,26.56,43.8557,41.94472230809836,-1.9109776919016355,44.47635822657289
57846,110.14,26.59,41.7984,38.540351949902146,-3.2580480500978553,44.360646922124246
57881,113.28,26.71,58.0711,49.952232760947915,-8.118867239052086,43.19227847762017
57853,110.64,26.74,35.2034,39.41082922264314,4.207429222643135,44.270660245286045
57870,112.08,26.76,50.135,47.57224032396627,-2.5627596760337283,43.31926003255552
57875,112.69,26.76,52.248,49.123302457612446,-3.124697542387551,43.06746774572793
57882,113.54,26.79,40.7357,46.744128763885136,6.008428763885135,42.88140079997157
57842,109.72,26.88,45.5773,43.063833929085185,-2.5134660709148164,44.45858051041786
57871,112.37,26.97,44.2491,48.28772666776152,4.03862666776152,43.401205641369415
57872,112.59,26.98,39.4623,49.56194333401768,10.099643334017678,42.97262636183772
57758,110.61,27.03,40.5397,38.42320084752944,-2.11649915247056,44.45318080529768
57860,111.32,27.03,46.7709,40.8730104034163,-5.8978895965836955,45.02173976327625
57778,112.98,27.05,60.0561,50.09905040639886,-9.957049593601141,43.35038433530687
57779,113.35,27.06,50.9268,46.98784052883546,-3.9389594711645373,43.250682593706436
57767,111.01,27.13,25.5921,40.28642874332313,14.69432874332313,44.978937887466685
57766,111.45,27.18,46.8137,40.92343542777644,-5.890264572223558,44.048556375390994
57754,109.84,27.21,40.3878,44.22462169739928,3.83682169739928,44.226148492807766
57769,111.77,27.22,47.2609,42.939722652114284,-4.321177347885715,43.98807333735327
57777,112.84,27.26,57.4765,51.098472556004346,-6.378027443995656,42.89424381457078
57776,112.69,27.3,44.7796,51.24359059580199,6.463990595801988,43.15993069122379
57765,110.41,27.32,31.5517,40.82140459937797,9.26970459937797,44.77372105870437
57768,111.45,27.34,32.4216,41.9112043754872,9.489604375487204,44.034279231091666
57744,109.16,27.37,41.3138,40.310929624495806,-1.0028703755041946,46.118432483395786
57745,109.68,27.45,43.0104,44.400148790225884,1.3897487902258874,44.578662178516936
57774,112.22,27.46,50.1431,45.56812707764432,-4.574972922355677,43.01399222167628
57749,110.03,27.61,43.4457,44.409450199830026,0.9637501998300237,44.243685548957735
57781,113.51,27.64,37.1318,44.862923944302096,7.731123944302098,43.229541714154685
57763,112.0,27.69,37.9357,45.26049988891415,7.32479988891415,42.79226307935346
57760,111.44,27.7,48.2124,42.997745496420634,-5.214654503579368,43.886082799414496
57762,111.68,27.71,34.2896,44.184585089139176,9.894985089139176,43.02109374298803
57761,111.29,27.75,42.5303,43.27695308697771,0.7466530869777159,44.39683709541716
57772,112.51,27.75,41.4417,45.7117994688953,4.270099468895303,43.12843888141509
57743,109.81,27.86,47.89,43.802391115169385,-4.087608884830615,43.69517046401642
57780,113.17,27.87,52.9195,46.1948957211965,-6.724604278803497,42.180745952923694
57773,112.83,27.88,45.729,45.1864103977232,-0.5425896022767986,43.327046474980946
57771,112.59,27.89,45.2854,43.86302208979752,-1.422377910202485,43.19925871539429
57752,110.6,27.91,56.0331,43.15553772477893,-12.877562275221067,44.360046925420725
57740,109.6,27.95,44.0179,40.86665217231388,-3.15124782768612,43.240357322016
57658,110.19,28.01,46.3567,44.01137390365461,-2.3453260963453886,43.743926474352826
57687,112.79,28.11,40.6737,44.20104870149423,3.5273487014942333,42.73188739351098
57688,113.63,28.16,39.173,42.99437285253063,3.8213728525306294,44.04026197125671
57657,110.23,28.21,49.9173,43.5128455493688,-6.404454450631199,43.72510396869801
57679,113.2,28.21,39.9624,42.619111543712044,2.656711543712042,42.82397791954676
57649,109.68,28.24,47.0248,43.7444082527658,-3.280391747234198,42.41632962666849
57678,112.54,28.25,32.3019,42.37451926286043,10.072619262860428,43.08141871936796
57669,111.25,28.38,44.0889,46.73482186803249,2.645921868032488,44.052367588475065
57655,110.4,28.46,43.6056,43.67694734177457,0.07134734177456892,44.77754496555852
