id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,True_PWV,dataset,Predicted_PWV,formatted_time
42,P8755,2025/6/3 0:00,25.38,113.52,923,郴州市,小垣,汝城县,18.08,97,905.6,16.4,54.4439,train,49.74709912,2025/6/3 0:00
43,P8107,2025/6/3 0:00,25.39,111.31,287.7,永州市,盘王广场,江永县,19.98,91,974.5,19,45.3784,train,46.28178442,2025/6/3 0:00
44,P8656,2025/6/3 0:00,25.39,112.72,269.9,郴州市,深渡,临武县,21.9,92,977.3,20.3,51.5912,train,49.4097885,2025/6/3 0:00
45,P7893,2025/6/3 0:00,25.4,111.57,180,永州市,祥霖铺,道县,23.23,100,987.1,19.9,43.5605,test,43.60996098,2025/6/3 0:00
46,57975,2025/6/3 0:00,25.4,112.17,345.9,永州市,蓝山,蓝山县,22.1,100,969,19.1,56.7816,train,55.29100765,2025/6/3 0:00
47,P8759,2025/6/3 0:00,25.4,113.61,676,郴州市,龙虎洞水库,汝城县,20.05,96,932.2,18.2,40.7756,train,42.62243089,2025/6/3 0:00
48,P8767,2025/6/3 0:00,25.4,113.78,254.5,郴州市,九龙江公园,汝城县,23.81,100,979.5,20.3,34.3983,train,35.68837243,2025/6/3 0:00
49,57976,2025/6/3 0:00,25.41,112.94,222.8,郴州市,宜章,宜章县,21.25,86,982.6,20.9,36.9028,train,35.30473769,2025/6/3 0:00
50,P8754,2025/6/3 0:00,25.44,113.49,615,郴州市,延寿,汝城县,19.83,98,939.6,17.7,35.604,test,37.44209402,2025/6/3 0:00
51,P8642,2025/6/3 0:00,25.45,112.43,468.5,郴州市,林里,临武县,20.81,99,956.2,18.3,31.5802,train,30.96739298,2025/6/3 0:00
52,P8763,2025/6/3 0:00,25.46,113.69,654,郴州市,大坪,汝城县,19.83,98,936.2,17.7,40.3289,train,40.2541141,2025/6/3 0:00
53,P8090,2025/6/3 0:00,25.47,111.8,212,永州市,梅岗,宁远县,22.42,93,983.1,20.5,42.0178,train,45.13871762,2025/6/3 0:00
54,P8658,2025/6/3 0:00,25.47,112.61,620.6,郴州市,镇南,临武县,19.61,100,939,17.2,33.145,train,37.81864138,2025/6/3 0:00
55,P8706,2025/6/3 0:00,25.47,113.12,357.9,郴州市,杨梅山,宜章县,21.39,98,967.4,18.9,43.2179,test,43.26835378,2025/6/3 0:00
56,P8091,2025/6/3 0:00,25.48,112.01,234.9,永州市,湾井,宁远县,22.94,100,980.9,19.7,51.1334,train,54.92770892,2025/6/3 0:00
57,P7886,2025/6/3 0:00,25.49,111.39,356,永州市,月岩,道县,20.6,98,967.7,18.3,47.1149,train,45.79742087,2025/6/3 0:00
58,P8765,2025/6/3 0:00,25.49,113.65,608,郴州市,泉水,汝城县,19.76,94,939.6,18.3,36.6662,train,40.17749852,2025/6/3 0:00
59,P7906,2025/6/3 0:00,25.51,111.65,160,永州市,齐心,道县,21.66,91,987.1,20.3,45.2487,train,46.71083708,2025/6/3 0:00
60,P8593,2025/6/3 0:00,25.51,112.38,256,郴州市,邓林,嘉禾县,21.66,95,979.6,19.6,41.3816,test,42.56226803,2025/6/3 0:00
61,P8407,2025/6/3 0:00,25.51,112.65,696,郴州市,荷叶,桂阳县,18.64,100,929.9,16.4,44.2697,train,42.67290017,2025/6/3 0:00
62,57985,2025/6/3 0:00,25.51,113.68,645.6,郴州市,汝城,汝城县,20.24,100,935.5,17.7,45.0605,train,40.34199615,2025/6/3 0:00
63,P7890,2025/6/3 0:00,25.52,111.7,181,永州市,白芒铺,道县,21.83,94,985.8,19.9,49.6649,train,48.18621281,2025/6/3 0:00
64,P8598,2025/6/3 0:00,25.52,112.46,281,郴州市,泮头水库,嘉禾县,21.23,92,975.3,19.8,41.679,train,40.72816613,2025/6/3 0:00
65,P8888,2025/6/3 0:00,25.52,112.76,1168,郴州市,太山里,北湖区,16.29,100,878.8,14.3,36.5361,test,40.12954926,2025/6/3 0:00
66,P8772,2025/6/3 0:00,25.52,113.91,358,郴州市,热水,汝城县,22.25,97,967.6,19.7,35.4451,train,35.56692407,2025/6/3 0:00
67,57965,2025/6/3 0:00,25.53,111.6,192.2,永州市,道县,道县,22.14,93,986.2,20.3,41.9245,train,43.46356841,2025/6/3 0:00
68,P8386,2025/6/3 0:00,25.53,112.8,1205,郴州市,十亩田,北湖区,16.18,100,875.1,14.2,36.8845,train,36.76201537,2025/6/3 0:00
69,P8751,2025/6/3 0:00,25.53,113.37,475.7,郴州市,文明水库,汝城县,20.73,95,954,18.9,29.4227,train,31.81407647,2025/6/3 0:00
70,P8086,2025/6/3 0:00,25.55,111.7,168,永州市,白马渡,道县,22.48,98,986.4,19.7,50.4257,test,48.45456858,2025/6/3 0:00
71,P8383,2025/6/3 0:00,25.55,112.89,810,郴州市,永春,北湖区,18.04,92,918.4,17.2,23.6373,train,35.26342359,2025/6/3 0:00
72,P8375,2025/6/3 0:00,25.57,112.72,342,郴州市,鲁塘,北湖区,20.77,94,968.3,19.1,45.5023,train,44.25680885,2025/6/3 0:00
73,57974,2025/6/3 0:00,25.58,112.37,214.5,郴州市,嘉禾,嘉禾县,24.1,100,983.8,20.5,44.5623,train,43.34113271,2025/6/3 0:00
74,P8234,2025/6/3 0:00,25.58,112.4,318,郴州市,车头,嘉禾县,20.81,93,972.5,19.3,44.0732,train,43.71161869,2025/6/3 0:00
75,57966,2025/6/3 0:00,25.59,111.96,244.2,永州市,宁远,宁远县,21.93,91,980.3,20.5,55.4696,test,47.14029248,2025/6/3 0:00
76,P7963,2025/6/3 0:00,25.59,112.23,381,永州市,甘溪,蓝山县,20.9,90,963.2,19.9,45.7582,train,48.39985806,2025/6/3 0:00
77,P8758,2025/6/3 0:00,25.59,113.63,633,郴州市,金宝,汝城县,20.09,95,937.7,18.4,39.4887,train,39.42700845,2025/6/3 0:00
78,P8684,2025/6/3 0:00,25.6,112.71,362,郴州市,肖家山水库,桂阳县,21.17,97,967.2,18.9,46.1321,train,44.52907261,2025/6/3 0:00
79,P8442,2025/6/3 0:00,25.61,113.04,350.6,郴州市,百丈,苏仙区,21.15,100,968.1,18.4,45.9601,train,47.20624152,2025/6/3 0:00
80,P8762,2025/6/3 0:00,25.61,113.95,280,郴州市,集龙,汝城县,22.76,98,974.8,19.9,34.3865,test,34.39354117,2025/6/3 0:00
81,P7888,2025/6/3 0:00,25.62,111.61,167,永州市,梅花,道县,21.32,89,986.2,20.4,41.9314,train,42.73565742,2025/6/3 0:00
82,P8591,2025/6/3 0:00,25.62,112.28,284,郴州市,盘江水库,嘉禾县,21.73,93,975.7,20,47.8523,train,45.30865582,2025/6/3 0:00
83,P8374,2025/6/3 0:00,25.62,112.93,490.6,郴州市,江口,北湖区,19.84,95,953,18.2,46.9614,train,41.71517473,2025/6/3 0:00
84,P8768,2025/6/3 0:00,25.62,113.75,627,郴州市,永丰,汝城县,19.8,96,937.8,18,37.62,train,38.04166072,2025/6/3 0:00
85,P8088,2025/6/3 0:00,25.64,111.37,281,永州市,仙子脚,道县,22.01,99,972,19.2,39.7387,test,40.3385109,2025/6/3 0:00
86,P8352,2025/6/3 0:00,25.64,112.34,208,郴州市,石燕,嘉禾县,22.28,93,984.8,20.4,41.4326,train,45.17260193,2025/6/3 0:00
87,P7783,2025/6/3 0:00,25.65,111.92,209,永州市,恩里,宁远县,21.27,91,982.4,20,42.1268,train,47.01930122,2025/6/3 0:00
88,P8405,2025/6/3 0:00,25.65,112.65,331.9,郴州市,方元,桂阳县,22.8,100,970.4,19.6,54.3259,train,48.65659153,2025/6/3 0:00
89,P8409,2025/6/3 0:00,25.65,112.73,263.7,郴州市,地界,桂阳县,22.11,97,978.2,19.6,42.4651,train,44.07123212,2025/6/3 0:00
90,P7785,2025/6/3 0:00,25.66,112.13,396.6,永州市,太平,宁远县,22.24,100,962.7,19.2,59.924,test,47.97496981,2025/6/3 0:00
91,P8384,2025/6/3 0:00,25.66,112.84,312,郴州市,月峰,北湖区,20.46,92,971.5,19.2,48.1639,train,44.79685629,2025/6/3 0:00
92,P8092,2025/6/3 0:00,25.67,111.81,215.7,永州市,幕投,宁远县,21.53,91,982.9,20.2,49.9654,train,48.514332,2025/6/3 0:00
93,P8370,2025/6/3 0:00,25.67,112.99,215,郴州市,石盖塘,北湖区,23.37,100,982.3,20,48.5949,train,47.611764,2025/6/3 0:00
94,P8594,2025/6/3 0:00,25.68,112.49,199.6,郴州市,观音山水库,嘉禾县,21.83,94,985.1,19.9,35.869,train,42.67778244,2025/6/3 0:00
95,P8889,2025/6/3 0:00,25.68,112.7,289,郴州市,黄沙坪,桂阳县,21.07,93,974.2,19.5,43.5878,test,44.20008458,2025/6/3 0:00
96,P8433,2025/6/3 0:00,25.68,113.15,816,郴州市,五盖山,苏仙区,18.4,100,917.3,16.2,42.3801,train,43.19955709,2025/6/3 0:00
97,P8494,2025/6/3 0:00,25.68,113.49,294,郴州市,黄草,资兴市,22.62,98,973.7,19.8,35.2557,train,39.36077565,2025/6/3 0:00
98,P8353,2025/6/3 0:00,25.69,112.45,216.5,郴州市,乐塘,嘉禾县,23.42,99,982.5,20.2,50.5439,train,47.08289792,2025/6/3 0:00
99,P7734,2025/6/3 0:00,25.7,111.64,315,永州市,塘于洞,双牌县,21.3,94,973.6,19.5,42.8852,train,46.21436008,2025/6/3 0:00
100,P8350,2025/6/3 0:00,25.71,112.5,176,郴州市,茶坞,嘉禾县,22.3,96,988.3,19.9,46.5846,test,44.76015264,2025/6/3 0:00
101,P8377,2025/6/3 0:00,25.71,112.88,314,郴州市,四清水库,北湖区,20.64,90,973.4,19.7,45.9376,train,45.2302819,2025/6/3 0:00
102,P8682,2025/6/3 0:00,25.71,113.72,314.8,郴州市,文泉,汝城县,21.63,92,971.9,20.1,33.4336,train,33.80291434,2025/6/3 0:00
103,P7781,2025/6/3 0:00,25.73,112.09,319,永州市,保安,宁远县,20.12,84,970.3,20.4,26.5264,train,42.06560989,2025/6/3 0:00
104,P8483,2025/6/3 0:00,25.73,113.4,296,郴州市,高湾,资兴市,21.16,90,974.7,20.1,47.5403,train,46.587057,2025/6/3 0:00
105,P8769,2025/6/3 0:00,25.73,113.84,476,郴州市,红星,汝城县,20.55,93,953.9,19.1,28.0963,test,31.36035045,2025/6/3 0:00
106,P8595,2025/6/3 0:00,25.74,112.4,201,郴州市,石市,嘉禾县,21,85,985.2,20.9,52.4717,train,49.19420647,2025/6/3 0:00
107,P8396,2025/6/3 0:00,25.74,112.85,263.4,郴州市,北湖机场,北湖区,21.83,94,978,19.9,37.4044,train,42.52903715,2025/6/3 0:00
108,57972,2025/6/3 0:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.91,97,966.4,18.7,46.1373,train,47.22536891,2025/6/3 0:00
109,P8760,2025/6/3 0:00,25.74,113.66,422.2,郴州市,淇岭,汝城县,21.27,91,958.4,20,32.9838,train,33.66555133,2025/6/3 0:00
110,P8233,2025/6/3 0:00,25.75,112.44,222,郴州市,芙蓉,嘉禾县,21.93,91,980.6,20.5,46.8023,test,48.24219911,2025/6/3 0:00
111,57973,2025/6/3 0:00,25.75,112.72,329.1,郴州市,桂阳,桂阳县,19.75,84,971,20.1,43.4905,train,41.64617259,2025/6/3 0:00
112,P8385,2025/6/3 0:00,25.75,113.04,180.7,郴州市,物流园,北湖区,21.34,88,986.4,20.6,47.1287,train,49.70741875,2025/6/3 0:00
113,P8387,2025/6/3 0:00,25.75,113.06,255,郴州市,海泉,北湖区,23.23,100,981.4,19.9,54.8745,train,50.43513964,2025/6/3 0:00
114,P7855,2025/6/3 0:00,25.76,112.35,204.1,永州市,新隆,新田县,23.72,99,983.1,20.4,47.4698,train,48.81238159,2025/6/3 0:00
115,P8323,2025/6/3 0:00,25.76,112.65,265,郴州市,平岗,桂阳县,20.87,91,977.6,19.7,39.4601,test,42.68643255,2025/6/3 0:00
116,P8322,2025/6/3 0:00,25.77,112.8,217.6,郴州市,全义,桂阳县,21.66,91,984.4,20.3,37,train,38.83982249,2025/6/3 0:00
117,P8604,2025/6/3 0:00,25.77,113.31,395,郴州市,青草,资兴市,22.06,95,965.2,19.9,57.5801,train,52.63094052,2025/6/3 0:00
118,P7881,2025/6/3 0:00,25.78,111.44,335,永州市,上坝水库,道县,19.16,82,967.9,20,33.1898,train,35.31586944,2025/6/3 0:00
119,P8314,2025/6/3 0:00,25.78,112.5,145,郴州市,飞仙,桂阳县,23.62,98,991.6,20.5,47.522,train,45.88531495,2025/6/3 0:00
120,P8397,2025/6/3 0:00,25.78,112.92,284,郴州市,茶场,北湖区,23.08,100,975.9,19.8,52.1365,test,49.19909108,2025/6/3 0:00
121,P8437,2025/6/3 0:00,25.78,113.06,192,郴州市,王仙岭,苏仙区,21.63,92,985.9,20.1,50.1569,train,50.34397243,2025/6/3 0:00
122,P8259,2025/6/3 0:00,25.79,113.12,173,郴州市,观山洞,苏仙区,22.11,97,987.5,19.6,44.7337,train,49.79747448,2025/6/3 0:00
123,P7850,2025/6/3 0:00,25.81,112.12,497.1,永州市,龙家大院,新田县,21.12,95,951.8,19.2,48.4387,train,44.27865713,2025/6/3 0:00
124,P7837,2025/6/3 0:00,25.81,112.28,155.2,永州市,祖亭下,新田县,21.96,90,988.5,20.7,47.062,train,45.59704766,2025/6/3 0:00
125,P7841,2025/6/3 0:00,25.81,112.33,163,永州市,程家,新田县,21.56,90,987.1,20.4,41.4949,test,45.41691445,2025/6/3 0:00
126,P8440,2025/6/3 0:00,25.81,113.04,184,郴州市,苏仙岭,苏仙区,21.77,92,985.8,20.2,50.1289,train,51.62425274,2025/6/3 0:00
127,P8411,2025/6/3 0:00,25.82,112.75,215.4,郴州市,樟市,桂阳县,21.77,92,983.1,20.2,36.5133,train,38.74966903,2025/6/3 0:00
128,P8439,2025/6/3 0:00,25.82,113.1,202,郴州市,香山坪,苏仙区,23.51,100,985.7,20.1,55.1027,train,50.69220372,2025/6/3 0:00
129,P7779,2025/6/3 0:00,25.83,111.99,247.4,永州市,柏家坪,宁远县,21.37,92,978.8,19.9,41.5373,train,40.52799764,2025/6/3 0:00
130,P8435,2025/6/3 0:00,25.84,113.17,185,郴州市,望仙,苏仙区,22.94,100,988,19.7,50.2498,test,50.7563848,2025/6/3 0:00
131,P7862,2025/6/3 0:00,25.86,112.21,200,永州市,五柳塘,新田县,22.16,96,984.2,19.8,44.6287,train,47.08873766,2025/6/3 0:00
132,P7730,2025/6/3 0:00,25.87,111.72,610,永州市,上梧江,双牌县,19.61,100,939.7,17.2,58.7107,train,55.55861715,2025/6/3 0:00
133,P8527,2025/6/3 0:00,25.89,113.38,353.9,郴州市,白廊,资兴市,19.83,87,969.1,19.6,46.7052,train,50.61856462,2025/6/3 0:00
134,57971,2025/6/3 0:00,25.91,112.21,224.2,永州市,新田,新田县,23.91,98,982.7,20.7,48.8385,train,46.88898376,2025/6/3 0:00
135,P8246,2025/6/3 0:00,25.91,113.13,118,郴州市,飞天山,苏仙区,22.76,91,993,21.1,54.0802,test,54.82151432,2025/6/3 0:00
136,P8540,2025/6/3 0:00,25.92,113.7,786.3,郴州市,青山,桂东县,20.73,86,920.6,20.5,37.6542,train,37.33726137,2025/6/3 0:00
137,P7725,2025/6/3 0:00,25.93,111.73,157.7,永州市,塘底,双牌县,23.08,100,988.9,19.8,51.8289,train,51.76833155,2025/6/3 0:00
138,P8545,2025/6/3 0:00,25.93,113.87,850,郴州市,大塘,桂东县,22.51,100,913,19.4,42.8302,train,40.4139467,2025/6/3 0:00
139,P7803,2025/6/3 0:00,25.94,111.95,367,永州市,刘家坪,宁远县,21.03,90,970.8,20,46.4843,train,43.51670987,2025/6/3 0:00
140,P8317,2025/6/3 0:00,25.94,112.62,245,郴州市,湘山,桂阳县,21.37,92,979.9,19.9,39.428,test,42.40778844,2025/6/3 0:00
141,P8551,2025/6/3 0:00,25.94,113.95,774.6,郴州市,新坊,桂东县,21.8,91,922.1,20.4,36.6642,train,36.61035624,2025/6/3 0:00
142,P7745,2025/6/3 0:00,25.96,111.87,377,永州市,黄江源,双牌县,20.86,95,964.3,19,40.8014,train,42.01274442,2025/6/3 0:00
143,P8413,2025/6/3 0:00,25.97,112.81,259.5,郴州市,洋市,桂阳县,23.51,100,978.1,20.1,49.3823,train,44.59173023,2025/6/3 0:00
144,P8392,2025/6/3 0:00,25.97,113.05,161,郴州市,五里牌,苏仙区,21.91,86,989.6,21.4,56.9948,train,52.27742055,2025/6/3 0:00
145,57981,2025/6/3 0:00,25.97,113.22,139.3,郴州市,资兴,资兴市,23.22,94,991.9,20.9,55.6598,test,54.84529567,2025/6/3 0:00
146,P8493,2025/6/3 0:00,25.97,113.45,311,郴州市,天鹅山,资兴市,23.23,100,971.5,19.9,54.8745,train,49.56081787,2025/6/3 0:00
147,P7724,2025/6/3 0:00,25.98,111.86,365,永州市,麻江,双牌县,21.16,94,966.8,19.4,40.2922,train,41.6177882,2025/6/3 0:00
148,P8390,2025/6/3 0:00,25.99,113.01,99,郴州市,栖凤渡,苏仙区,21.67,83,994.6,21.8,45.8602,train,48.62902944,2025/6/3 0:00
149,P8681,2025/6/3 0:00,26,113.59,352.7,郴州市,团桥,资兴市,21.66,95,968.1,19.6,32.5761,train,39.1177782,2025/6/3 0:00
150,P3918,2025/6/3 0:00,26.01,109.77,512,怀化市,陇城,通道侗族自治县,18.68,90,951.3,18.1,39.6916,test,39.98829287,2025/6/3 0:00
151,P8265,2025/6/3 0:00,26.02,112.86,207,郴州市,文明,永兴县,21.36,87,985.1,20.8,39.4231,train,43.50734688,2025/6/3 0:00
152,57962,2025/6/3 0:00,26.03,111.66,205,永州市,双牌,双牌县,23.51,100,984.8,20.1,59.9352,train,57.21641285,2025/6/3 0:00
153,P8318,2025/6/3 0:00,26.03,112.53,341.1,郴州市,欧阳海,桂阳县,19.5,77,967.9,21.3,54.1711,train,48.69846354,2025/6/3 0:00
154,P8417,2025/6/3 0:00,26.04,112.74,467.6,郴州市,青兰,桂阳县,19.04,79,955.9,20.5,36.531,train,42.91893508,2025/6/3 0:00
155,P8267,2025/6/3 0:00,26.04,112.92,110,郴州市,儒林,永兴县,22.47,84,993.3,22.2,41.1602,test,42.27689999,2025/6/3 0:00
156,P8514,2025/6/3 0:00,26.04,113.39,1102,郴州市,十龙潭,资兴市,16.61,100,886.5,14.6,44.0303,train,49.6015656,2025/6/3 0:00
157,P8676,2025/6/3 0:00,26.05,112.8,289,郴州市,油麻,永兴县,23.66,100,976.2,20.2,49.172,train,42.96756378,2025/6/3 0:00
158,P6618,2025/6/3 0:00,26.06,110.15,539.1,邵阳市,五团,城步苗族自治县,21.28,100,946.5,18.5,33.6959,train,33.77326321,2025/6/3 0:00
159,P8403,2025/6/3 0:00,26.06,112.63,286.6,郴州市,桥市,桂阳县,21.14,83,975.7,21.4,47.9376,train,46.32198721,2025/6/3 0:00
160,P8480,2025/6/3 0:00,26.06,113.28,140,郴州市,源兴,资兴市,23.43,96,991,20.7,57.0417,test,53.84970445,2025/6/3 0:00
161,P3917,2025/6/3 0:00,26.08,109.55,455.3,怀化市,独坡,通道侗族自治县,20.2,92,957.6,19,36.8992,train,38.45366694,2025/6/3 0:00
162,P4175,2025/6/3 0:00,26.08,109.81,407.3,怀化市,长安堡,通道侗族自治县,21.42,100,961.3,18.6,42.7479,train,41.72239226,2025/6/3 0:00
163,P8481,2025/6/3 0:00,26.08,113.26,123,郴州市,东湾,资兴市,24.25,100,993.4,20.6,53.7077,train,55.79875184,2025/6/3 0:00
164,57889,2025/6/3 0:00,26.08,113.94,834.1,郴州市,桂东,桂东县,18.42,75,914.5,20.8,36.1514,train,36.78998946,2025/6/3 0:00
165,P8316,2025/6/3 0:00,26.09,112.47,307,郴州市,莲塘,桂阳县,21.27,83,973.7,21.5,43.2412,test,46.2690857,2025/6/3 0:00
166,P6617,2025/6/3 0:00,26.1,110.28,777.7,邵阳市,汀坪,城步苗族自治县,19.36,100,919.3,17,35.1583,train,35.09923978,2025/6/3 0:00
167,P8291,2025/6/3 0:00,26.1,112.86,185.6,郴州市,邝家,永兴县,22.48,91,986.7,20.9,40.4886,train,42.65574805,2025/6/3 0:00
168,P8499,2025/6/3 0:00,26.1,113.54,620,郴州市,州门司,资兴市,19.73,100,937.6,17.3,49.2259,train,44.67771949,2025/6/3 0:00
169,P7721,2025/6/3 0:00,26.11,111.81,234,永州市,茶林,双牌县,20.25,84,981.8,20.5,35.6562,train,43.01088539,2025/6/3 0:00
170,P7723,2025/6/3 0:00,26.12,111.91,1512.2,永州市,阳明山,双牌县,14.44,94,843.8,13.4,34.1585,test,35.58624423,2025/6/3 0:00
171,57887,2025/6/3 0:00,26.12,113.11,167.5,郴州市,永兴,永兴县,22.73,86,988.8,22,49.1368,train,48.86211259,2025/6/3 0:00
172,P5837,2025/6/3 0:00,26.12,113.72,886.1,株洲市,龙凤,炎陵县,18.88,100,909.3,16.6,24.453,train,28.12673264,2025/6/3 0:00
