Lon,Lat,True_PWV,Predicted_PWV,Error
111.49,24.74,43.2375,45.15116982796485,-1.9136698279648527
111.93,24.8,44.4996,42.77223981338088,1.7273601866191228
111.54,24.81,45.2923,41.876439561697524,3.4158604383024738
111.7,24.87,39.5659,38.70979410592083,0.856105894079171
111.82,24.87,37.134,38.282811172450636,-1.1488111724506354
111.51,24.88,40.8873,43.35080676560244,-2.463506765602439
112.02,24.92,44.4158,40.19221511183639,4.223584888163607
111.53,24.93,42.8821,41.54013380516981,1.3419661948301922
111.81,24.95,35.25,40.57487247621794,-5.324872476217941
112.93,24.95,30.7909,47.71998363703653,-16.929083637036527
111.73,24.98,15.4993,40.42798107106205,-24.92868107106205
111.07,25.0,38.5322,43.82019153754028,-5.287991537540279
111.68,25.03,36.7021,38.449665067051335,-1.7475650670513332
111.53,25.04,45.4621,41.418441301457506,4.043658698542494
111.58,25.05,48.1572,40.01133041408981,8.14586958591019
111.13,25.06,52.3479,43.332648295011374,9.015251704988628
111.18,25.1,46.6178,44.64271978318743,1.9750802168125716
112.81,25.1,49.3117,42.24494804890651,7.066751951093494
111.04,25.12,43.5122,41.87095303882155,1.641246961178453
111.47,25.12,34.9056,44.051157301350074,-9.145557301350074
111.37,25.13,43.2375,44.839822329588515,-1.6023223295885174
112.74,25.14,51.8915,40.65623189938608,11.235268100613922
111.34,25.17,41.1775,45.39871197003331,-4.221211970033309
111.66,25.17,37.8204,41.61009985366518,-3.7896998536651836
112.63,25.17,27.0608,44.74036212377967,-17.679562123779668
111.57,25.18,52.8903,42.02969448754819,10.860605512451812
111.9,25.18,37.84,39.185584392029696,-1.3455843920296928
112.85,25.19,48.6902,44.35364414021197,4.336555859788028
111.18,25.2,39.9923,46.62574127120325,-6.633441271203253
111.9,25.23,28.8064,43.55900353193692,-14.752603531936924
112.95,25.24,40.6619,44.730352494583975,-4.068452494583973
112.26,25.25,46.2765,41.72578795926211,4.550712040737892
112.55,25.27,43.7716,36.681288232429864,7.090311767570135
111.31,25.28,50.6321,44.02777364684426,6.6043263531557415
111.51,25.29,45.4101,44.72943634734386,0.6806636526561434
111.62,25.29,39.3987,43.91275473912272,-4.51405473912272
111.81,25.29,43.8209,42.6542890025965,1.1666109974035024
112.46,25.33,4.9191,41.230147466119305,-36.311047466119305
112.31,25.34,56.7269,44.48991566637858,12.236984333621422
111.45,25.35,46.9608,45.34994119737521,1.61085880262479
111.95,25.35,59.6171,44.93776226565809,14.679337734341914
113.52,25.38,54.4439,39.900216078059685,14.543683921940314
111.31,25.39,45.3784,43.70007105600866,1.678328943991339
112.72,25.39,51.5912,39.43377021548212,12.15742978451788
111.57,25.4,43.5605,44.934664839155026,-1.3741648391550285
112.17,25.4,56.7816,46.28516997765748,10.496430022342516
113.61,25.4,40.7756,41.936806754440134,-1.161206754440137
113.78,25.4,34.3983,41.638129646091265,-7.239829646091266
112.94,25.41,36.9028,42.92178496953146,-6.018984969531459
113.49,25.44,35.604,41.844327316219506,-6.240327316219506
112.43,25.45,31.5802,40.79687814726127,-9.216678147261266
113.69,25.46,40.3289,40.965101184668086,-0.6362011846680886
111.8,25.47,42.0178,47.35364958298828,-5.335849582988281
112.61,25.47,33.145,40.6261062956285,-7.4811062956285
113.12,25.47,43.2179,41.293053537445715,1.9248464625542852
112.01,25.48,51.1334,49.780811271697836,1.352588728302166
111.39,25.49,47.1149,43.31577550149411,3.79912449850589
113.65,25.49,36.6662,39.531335643945475,-2.8651356439454716
111.65,25.51,45.2487,45.52695917472662,-0.278259174726621
112.38,25.51,41.3816,41.79744202821684,-0.4158420282168436
112.65,25.51,44.2697,40.442057869000166,3.827642130999834
113.68,25.51,45.0605,38.23195826560754,6.828541734392459
111.7,25.52,49.6649,45.76505278048541,3.899847219514591
112.46,25.52,41.679,41.33570663133474,0.3432933686652646
112.76,25.52,36.5361,42.426499537252354,-5.890399537252357
113.91,25.52,35.4451,36.31972853659679,-0.874628536596795
111.6,25.53,41.9245,45.13971288923781,-3.2152128892378116
112.8,25.53,36.8845,41.9886895031608,-5.1041895031607964
113.37,25.53,29.4227,43.08089768085563,-13.65819768085563
111.7,25.55,50.4257,46.385757762914416,4.039942237085583
112.89,25.55,23.6373,43.71956702692879,-20.082267026928793
112.72,25.57,45.5023,41.658483750917185,3.8438162490828134
112.37,25.58,44.5623,43.43495520328975,1.127344796710247
112.4,25.58,44.0732,42.76259651809583,1.3106034819041668
111.96,25.59,55.4696,46.93653158125932,8.533068418740683
112.23,25.59,45.7582,47.91486988804978,-2.1566698880497768
113.63,25.59,39.4887,38.55099461810534,0.9377053818946592
112.71,25.6,46.1321,42.18680036619199,3.9452996338080126
113.04,25.61,45.9601,43.53763328187748,2.4224667181225144
113.95,25.61,34.3865,37.016743104212864,-2.630243104212866
111.61,25.62,41.9314,45.56375406645162,-3.632354066451626
112.28,25.62,47.8523,45.290280938411804,2.5620190615881953
112.93,25.62,46.9614,42.59448856358212,4.36691143641788
113.75,25.62,37.62,37.60803031112671,0.011969688873286088
111.37,25.64,39.7387,42.13453500374273,-2.395835003742725
112.34,25.64,41.4326,45.154613011673064,-3.722013011673063
111.92,25.65,42.1268,47.65614347700139,-5.52934347700139
112.65,25.65,54.3259,42.988502797659486,11.337397202340512
112.73,25.65,42.4651,42.49277329365643,-0.027673293656427234
112.13,25.66,59.924,45.03400855115107,14.889991448848932
112.84,25.66,48.1639,43.319123520527036,4.844776479472962
111.81,25.67,49.9654,46.380394404053796,3.585005595946207
112.99,25.67,48.5949,44.81145051454976,3.783449485450241
112.49,25.68,35.869,44.68037338713411,-8.811373387134111
112.7,25.68,43.5878,43.24886947703402,0.33893052296598114
113.15,25.68,42.3801,46.52502532463455,-4.144925324634549
113.49,25.68,35.2557,41.82001628895856,-6.564316288958565
112.45,25.69,50.5439,44.72198092302476,5.821919076975242
111.64,25.7,42.8852,46.93793901415378,-4.052739014153779
112.5,25.71,46.5846,44.83473819522691,1.74986180477309
112.88,25.71,45.9376,44.035422245582666,1.9021777544173375
113.72,25.71,33.4336,38.39574800957604,-4.96214800957604
112.09,25.73,26.5264,47.71855811357343,-21.19215811357343
113.4,25.73,47.5403,42.95820731437019,4.58209268562981
113.84,25.73,28.0963,37.6735442383731,-9.577244238373098
112.4,25.74,52.4717,45.29896469291912,7.1727353070808775
112.85,25.74,37.4044,44.71034857806736,-7.305948578067358
112.98,25.74,46.1373,46.096973435791554,0.040326564208449156
113.66,25.74,32.9838,39.01300392327374,-6.029203923273741
112.44,25.75,46.8023,45.64379186447373,1.1585081355262759
112.72,25.75,43.4905,43.38920922200446,0.10129077799553698
113.04,25.75,47.1287,47.5961368549427,-0.46743685494269727
113.06,25.75,54.8745,47.82982711280974,7.044672887190259
112.35,25.76,47.4698,45.66418318129685,1.8056168187031503
112.65,25.76,39.4601,44.498915978254246,-5.038815978254249
112.8,25.77,37.0,44.21147371604497,-7.211473716044971
113.31,25.77,57.5801,45.3659937913529,12.214106208647102
111.44,25.78,33.1898,44.41435962469304,-11.224559624693043
112.5,25.78,47.522,45.182507076787225,2.3394929232127737
112.92,25.78,52.1365,45.546650826838956,6.589849173161042
113.06,25.78,50.1569,49.558275618267054,0.5986243817329466
113.12,25.79,44.7337,50.43622643462958,-5.702526434629583
112.12,25.81,48.4387,44.675407694735526,3.7632923052644713
112.28,25.81,47.062,45.57639796594685,1.4856020340531444
112.33,25.81,41.4949,46.40000739771076,-4.905107397710758
113.04,25.81,50.1289,48.514697889371206,1.6142021106287956
