id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
45,P8755,2025-06-03 01:00:00,25.38,113.52,923.0,郴州市,小垣,汝城县,19.51,94.0,905.8,18.1,54.7598,test
46,P8107,2025-06-03 01:00:00,25.39,111.31,287.7,永州市,盘王广场,江永县,17.54,71.0,974.8,20.9,41.2459,train
47,P8656,2025-06-03 01:00:00,25.39,112.72,269.9,郴州市,深渡,临武县,21.85,89.0,977.3,20.8,48.6698,train
48,P7893,2025-06-03 01:00:00,25.4,111.57,180.0,永州市,祥霖铺,道县,24.71,100.0,987.4,20.9,47.6641,train
49,57975,2025-06-03 01:00:00,25.4,112.17,345.9,永州市,蓝山,蓝山县,21.4,91.0,969.0,20.1,46.9521,train
50,P8759,2025-06-03 01:00:00,25.4,113.61,676.0,郴州市,龙虎洞水库,汝城县,20.31,88.0,932.4,19.8,36.4958,test
51,P8767,2025-06-03 01:00:00,25.4,113.78,254.5,郴州市,九龙江公园,汝城县,24.55,100.0,979.9,20.8,36.7396,train
52,57976,2025-06-03 01:00:00,25.41,112.94,225.2,郴州市,宜章,宜章县,21.79,85.0,982.5,21.5,55.9,train
53,CZYZ,2025-06-03 01:00:00,25.41,112.94,213.64,郴州市,玉溪镇,宜章县,,999999.0,988.7402,24.0117,55.5211,train
54,P8754,2025-06-03 01:00:00,25.44,113.49,615.0,郴州市,延寿,汝城县,20.69,96.0,939.6,18.7,43.4426,train
55,P8642,2025-06-03 01:00:00,25.45,112.43,468.5,郴州市,林里,临武县,22.28,93.0,956.3,20.4,57.3447,test
56,P8763,2025-06-03 01:00:00,25.46,113.69,654.0,郴州市,大坪,汝城县,20.56,96.0,936.3,18.6,39.8316,train
57,P8090,2025-06-03 01:00:00,25.47,111.8,212.0,永州市,梅岗,宁远县,22.12,89.0,983.4,21.0,45.8158,train
58,P7951,2025-06-03 01:00:00,25.47,112.34,262.5,永州市,太平圩,蓝山县,21.49,87.0,979.0,20.9,37.5898,train
59,P8658,2025-06-03 01:00:00,25.47,112.61,620.6,郴州市,镇南,临武县,20.5,100.0,939.1,17.9,35.8481,train
60,P8706,2025-06-03 01:00:00,25.47,113.12,357.9,郴州市,杨梅山,宜章县,21.88,96.0,967.4,19.6,48.3335,test
61,P8091,2025-06-03 01:00:00,25.48,112.01,234.9,永州市,湾井,宁远县,23.37,100.0,981.1,20.0,54.6147,train
62,P7886,2025-06-03 01:00:00,25.49,111.39,356.0,永州市,月岩,道县,21.88,96.0,968.1,19.6,39.9414,train
63,P8765,2025-06-03 01:00:00,25.49,113.65,608.0,郴州市,泉水,汝城县,19.96,87.0,939.7,19.7,31.4369,train
64,P7906,2025-06-03 01:00:00,25.51,111.65,160.0,永州市,齐心,道县,22.03,87.0,987.7,21.3,48.1697,train
65,P8593,2025-06-03 01:00:00,25.51,112.38,256.0,郴州市,邓林,嘉禾县,22.28,88.0,979.8,21.3,47.5565,test
66,P8407,2025-06-03 01:00:00,25.51,112.65,696.0,郴州市,荷叶,桂阳县,19.24,100.0,930.1,16.9,52.401,train
67,CZRC,2025-06-03 01:00:00,25.51,113.68,639.65,郴州市,卢阳镇,汝城县,,999999.0,941.6863,21.3671,51.2837,train
68,P7890,2025-06-03 01:00:00,25.52,111.7,181.0,永州市,白芒铺,道县,21.74,88.0,986.2,20.9,39.845,train
69,P8598,2025-06-03 01:00:00,25.52,112.46,281.0,郴州市,泮头水库,嘉禾县,21.02,82.0,975.4,21.5,41.674,train
70,P8888,2025-06-03 01:00:00,25.52,112.76,1168.0,郴州市,太山里,北湖区,17.04,100.0,879.0,15.0,32.2897,test
71,P8772,2025-06-03 01:00:00,25.52,113.91,358.0,郴州市,热水,汝城县,22.34,95.0,967.9,20.1,34.818,train
72,57965,2025-06-03 01:00:00,25.53,111.6,192.7,永州市,道县,道县,22.53,89.0,986.7,21.3,53.5,train
73,YZDX,2025-06-03 01:00:00,25.53,111.6,176.01,永州市,西洲街道,道县,,999999.0,992.4966,24.2034,53.0235,train
74,P8386,2025-06-03 01:00:00,25.53,112.8,1205.0,郴州市,十亩田,北湖区,17.82,100.0,875.4,15.7,28.7023,train
75,P8751,2025-06-03 01:00:00,25.53,113.37,475.7,郴州市,文明水库,汝城县,21.03,90.0,954.1,20.0,34.8473,test
76,HNRC,2025-06-03 01:00:00,25.54,113.34,499.17,郴州市,文明瑶族乡,汝城县,,999999.0,956.9528,22.2299,51.2115,train
77,P8086,2025-06-03 01:00:00,25.55,111.7,168.0,永州市,白马渡,道县,22.34,91.0,987.0,20.8,47.638,train
78,CZJH,2025-06-03 01:00:00,25.55,112.37,203.17,郴州市,珠泉镇,嘉禾县,,999999.0,989.3697,24.0286,54.5427,train
79,P8383,2025-06-03 01:00:00,25.55,112.89,810.0,郴州市,永春,北湖区,17.39,87.0,918.6,17.5,24.4967,train
80,57985,2025-06-03 01:00:00,25.56,113.69,648.2,郴州市,汝城,汝城县,21.55,100.0,935.6,18.7,53.3,test
81,P8375,2025-06-03 01:00:00,25.57,112.72,342.0,郴州市,鲁塘,北湖区,20.86,86.0,968.4,20.6,40.8231,train
82,57974,2025-06-03 01:00:00,25.58,112.37,214.5,郴州市,嘉禾,嘉禾县,24.05,95.0,984.0,21.3,48.361,train
83,P8234,2025-06-03 01:00:00,25.58,112.4,318.0,郴州市,车头,嘉禾县,20.49,85.0,972.8,20.5,41.3812,train
84,57966,2025-06-03 01:00:00,25.59,111.96,243.1,永州市,宁远,宁远县,21.36,87.0,980.3,20.8,53.2,train
85,YZNY,2025-06-03 01:00:00,25.59,111.96,227.66,永州市,东溪街道,宁远县,,999999.0,986.7566,23.8822,52.3354,test
86,P7963,2025-06-03 01:00:00,25.59,112.23,381.0,永州市,甘溪,蓝山县,20.62,84.0,963.6,20.8,41.898,train
87,P8758,2025-06-03 01:00:00,25.59,113.63,633.0,郴州市,金宝,汝城县,20.36,91.0,937.8,19.3,39.4746,train
88,P8684,2025-06-03 01:00:00,25.6,112.71,362.0,郴州市,肖家山水库,桂阳县,21.69,90.0,967.3,20.5,40.8396,train
89,P8442,2025-06-03 01:00:00,25.61,113.04,350.6,郴州市,百丈,苏仙区,21.82,100.0,968.3,18.9,54.8274,train
90,P8762,2025-06-03 01:00:00,25.61,113.95,280.0,郴州市,集龙,汝城县,22.86,96.0,975.1,20.3,33.2457,test
91,P7888,2025-06-03 01:00:00,25.62,111.61,167.0,永州市,梅花,道县,21.66,84.0,986.8,21.6,41.6946,train
92,P8591,2025-06-03 01:00:00,25.62,112.28,284.0,郴州市,盘江水库,嘉禾县,21.14,84.0,976.2,21.2,45.084,train
93,P8374,2025-06-03 01:00:00,25.62,112.93,490.6,郴州市,江口,北湖区,19.92,93.0,953.1,18.6,46.5758,train
94,P8768,2025-06-03 01:00:00,25.62,113.75,627.0,郴州市,永丰,汝城县,20.55,93.0,938.0,19.1,39.5877,train
95,P8088,2025-06-03 01:00:00,25.64,111.37,281.0,永州市,仙子脚,道县,21.63,87.0,972.7,21.0,40.4794,test
96,P8352,2025-06-03 01:00:00,25.64,112.34,208.0,郴州市,石燕,嘉禾县,21.28,81.0,985.2,21.9,41.4842,train
97,P7783,2025-06-03 01:00:00,25.65,111.92,209.0,永州市,恩里,宁远县,20.25,79.0,982.5,21.5,38.2424,train
98,P8405,2025-06-03 01:00:00,25.65,112.65,331.9,郴州市,方元,桂阳县,22.48,91.0,970.5,20.9,50.5645,train
99,P8409,2025-06-03 01:00:00,25.65,112.73,263.7,郴州市,地界,桂阳县,21.4,84.0,978.3,21.4,41.2244,train
100,P7785,2025-06-03 01:00:00,25.66,112.13,396.6,永州市,太平,宁远县,20.36,85.0,963.2,20.4,28.6206,test
101,P8384,2025-06-03 01:00:00,25.66,112.84,312.0,郴州市,月峰,北湖区,21.01,84.0,971.4,21.1,46.4444,train
102,P8092,2025-06-03 01:00:00,25.67,111.81,215.7,永州市,幕投,宁远县,20.76,81.0,983.3,21.5,37.4719,train
103,P8370,2025-06-03 01:00:00,25.67,112.99,215.0,郴州市,石盖塘,北湖区,22.51,90.0,982.2,21.1,51.8386,train
104,P8594,2025-06-03 01:00:00,25.68,112.49,199.6,郴州市,观音山水库,嘉禾县,21.15,81.0,985.4,21.8,40.0551,train
105,P8889,2025-06-03 01:00:00,25.68,112.7,289.0,郴州市,黄沙坪,桂阳县,20.62,84.0,974.3,20.8,36.2822,test
106,P8433,2025-06-03 01:00:00,25.68,113.15,816.0,郴州市,五盖山,苏仙区,18.81,99.0,917.5,16.7,42.2027,train
107,P8494,2025-06-03 01:00:00,25.68,113.49,294.0,郴州市,黄草,资兴市,21.87,88.0,973.9,21.0,31.3099,train
108,P8353,2025-06-03 01:00:00,25.69,112.45,216.5,郴州市,乐塘,嘉禾县,25.63,100.0,982.9,21.5,47.0799,train
109,P7734,2025-06-03 01:00:00,25.7,111.64,315.0,永州市,塘于洞,双牌县,20.89,83.0,974.1,21.2,41.3272,train
110,P8350,2025-06-03 01:00:00,25.71,112.5,176.0,郴州市,茶坞,嘉禾县,21.93,84.0,988.5,21.8,35.1509,test
111,P8377,2025-06-03 01:00:00,25.71,112.88,314.0,郴州市,四清水库,北湖区,21.27,83.0,973.4,21.5,34.1979,train
112,P8682,2025-06-03 01:00:00,25.71,113.72,314.8,郴州市,文泉,汝城县,21.4,84.0,972.1,21.4,31.2477,train
113,P7781,2025-06-03 01:00:00,25.73,112.09,319.0,永州市,保安,宁远县,19.48,76.0,970.6,21.5,25.8886,train
114,P8483,2025-06-03 01:00:00,25.73,113.4,296.0,郴州市,高湾,资兴市,20.76,83.0,974.8,21.1,39.7985,train
115,P8769,2025-06-03 01:00:00,25.73,113.84,476.0,郴州市,红星,汝城县,21.47,88.0,953.9,20.7,30.5075,test
116,P8595,2025-06-03 01:00:00,25.74,112.4,201.0,郴州市,石市,嘉禾县,21.41,81.0,985.6,22.0,44.7677,train
117,P8396,2025-06-03 01:00:00,25.74,112.85,263.4,郴州市,北湖机场,北湖区,22.06,85.0,978.1,21.7,45.4999,train
118,57972,2025-06-03 01:00:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.64,90.0,966.4,19.7,40.0567,train
119,P8760,2025-06-03 01:00:00,25.74,113.66,422.2,郴州市,淇岭,汝城县,21.13,85.0,958.5,21.0,30.2627,train
120,P8233,2025-06-03 01:00:00,25.75,112.44,222.0,郴州市,芙蓉,嘉禾县,21.53,84.0,981.0,21.5,41.0011,test
121,57973,2025-06-03 01:00:00,25.75,112.72,329.8,郴州市,桂阳,桂阳县,20.26,81.0,971.1,21.1,52.2,train
122,CZGY,2025-06-03 01:00:00,25.75,112.72,316.5,郴州市,鹿峰街道,桂阳县,,999999.0,976.9605,23.3252,51.5417,train
123,P8385,2025-06-03 01:00:00,25.75,113.04,180.7,郴州市,物流园,北湖区,21.94,82.0,986.4,22.2,53.6336,train
124,P8387,2025-06-03 01:00:00,25.75,113.06,255.0,郴州市,海泉,北湖区,25.95,100.0,981.4,21.7,60.0892,train
125,P7855,2025-06-03 01:00:00,25.76,112.35,204.1,永州市,新隆,新田县,23.69,93.0,983.7,21.4,43.9796,test
126,P8323,2025-06-03 01:00:00,25.76,112.65,265.0,郴州市,平岗,桂阳县,20.76,81.0,977.8,21.5,44.374,train
