id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
96,P8433,2025-06-03 00:00:00,25.68,113.15,816.0,郴州市,五盖山,苏仙区,18.4,100,917.3,16.2,42.3801,train
97,P8494,2025-06-03 00:00:00,25.68,113.49,294.0,郴州市,黄草,资兴市,22.62,98,973.7,19.8,35.2557,train
98,P8353,2025-06-03 00:00:00,25.69,112.45,216.5,郴州市,乐塘,嘉禾县,23.42,99,982.5,20.2,50.5439,train
99,P7734,2025-06-03 00:00:00,25.7,111.64,315.0,永州市,塘于洞,双牌县,21.3,94,973.6,19.5,42.8852,train
100,P8350,2025-06-03 00:00:00,25.71,112.5,176.0,郴州市,茶坞,嘉禾县,22.3,96,988.3,19.9,46.5846,test
101,P8377,2025-06-03 00:00:00,25.71,112.88,314.0,郴州市,四清水库,北湖区,20.64,90,973.4,19.7,45.9376,train
102,P8682,2025-06-03 00:00:00,25.71,113.72,314.8,郴州市,文泉,汝城县,21.63,92,971.9,20.1,33.4336,train
103,P7781,2025-06-03 00:00:00,25.73,112.09,319.0,永州市,保安,宁远县,20.12,84,970.3,20.4,26.5264,train
104,P8483,2025-06-03 00:00:00,25.73,113.4,296.0,郴州市,高湾,资兴市,21.16,90,974.7,20.1,47.5403,train
105,P8769,2025-06-03 00:00:00,25.73,113.84,476.0,郴州市,红星,汝城县,20.55,93,953.9,19.1,28.0963,test
106,P8595,2025-06-03 00:00:00,25.74,112.4,201.0,郴州市,石市,嘉禾县,21.0,85,985.2,20.9,52.4717,train
107,P8396,2025-06-03 00:00:00,25.74,112.85,263.4,郴州市,北湖机场,北湖区,21.83,94,978.0,19.9,37.4044,train
108,57972,2025-06-03 00:00:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.91,97,966.4,18.7,46.1373,train
109,P8760,2025-06-03 00:00:00,25.74,113.66,422.2,郴州市,淇岭,汝城县,21.27,91,958.4,20.0,32.9838,train
110,P8233,2025-06-03 00:00:00,25.75,112.44,222.0,郴州市,芙蓉,嘉禾县,21.93,91,980.6,20.5,46.8023,test
111,57973,2025-06-03 00:00:00,25.75,112.72,329.1,郴州市,桂阳,桂阳县,19.75,84,971.0,20.1,43.4905,train
112,P8385,2025-06-03 00:00:00,25.75,113.04,180.7,郴州市,物流园,北湖区,21.34,88,986.4,20.6,47.1287,train
113,P8387,2025-06-03 00:00:00,25.75,113.06,255.0,郴州市,海泉,北湖区,23.23,100,981.4,19.9,54.8745,train
114,P7855,2025-06-03 00:00:00,25.76,112.35,204.1,永州市,新隆,新田县,23.72,99,983.1,20.4,47.4698,train
115,P8323,2025-06-03 00:00:00,25.76,112.65,265.0,郴州市,平岗,桂阳县,20.87,91,977.6,19.7,39.4601,test
116,P8322,2025-06-03 00:00:00,25.77,112.8,217.6,郴州市,全义,桂阳县,21.66,91,984.4,20.3,37.0,train
117,P8604,2025-06-03 00:00:00,25.77,113.31,395.0,郴州市,青草,资兴市,22.06,95,965.2,19.9,57.5801,train
118,P7881,2025-06-03 00:00:00,25.78,111.44,335.0,永州市,上坝水库,道县,19.16,82,967.9,20.0,33.1898,train
119,P8314,2025-06-03 00:00:00,25.78,112.5,145.0,郴州市,飞仙,桂阳县,23.62,98,991.6,20.5,47.522,train
120,P8397,2025-06-03 00:00:00,25.78,112.92,284.0,郴州市,茶场,北湖区,23.08,100,975.9,19.8,52.1365,test
121,P8437,2025-06-03 00:00:00,25.78,113.06,192.0,郴州市,王仙岭,苏仙区,21.63,92,985.9,20.1,50.1569,train
122,P8259,2025-06-03 00:00:00,25.79,113.12,173.0,郴州市,观山洞,苏仙区,22.11,97,987.5,19.6,44.7337,train
123,P7850,2025-06-03 00:00:00,25.81,112.12,497.1,永州市,龙家大院,新田县,21.12,95,951.8,19.2,48.4387,train
124,P7837,2025-06-03 00:00:00,25.81,112.28,155.2,永州市,祖亭下,新田县,21.96,90,988.5,20.7,47.062,train
125,P7841,2025-06-03 00:00:00,25.81,112.33,163.0,永州市,程家,新田县,21.56,90,987.1,20.4,41.4949,test
126,P8440,2025-06-03 00:00:00,25.81,113.04,184.0,郴州市,苏仙岭,苏仙区,21.77,92,985.8,20.2,50.1289,train
127,P8411,2025-06-03 00:00:00,25.82,112.75,215.4,郴州市,樟市,桂阳县,21.77,92,983.1,20.2,36.5133,train
128,P8439,2025-06-03 00:00:00,25.82,113.1,202.0,郴州市,香山坪,苏仙区,23.51,100,985.7,20.1,55.1027,train
129,P7779,2025-06-03 00:00:00,25.83,111.99,247.4,永州市,柏家坪,宁远县,21.37,92,978.8,19.9,41.5373,train
130,P8435,2025-06-03 00:00:00,25.84,113.17,185.0,郴州市,望仙,苏仙区,22.94,100,988.0,19.7,50.2498,test
131,P7862,2025-06-03 00:00:00,25.86,112.21,200.0,永州市,五柳塘,新田县,22.16,96,984.2,19.8,44.6287,train
132,P7730,2025-06-03 00:00:00,25.87,111.72,610.0,永州市,上梧江,双牌县,19.61,100,939.7,17.2,58.7107,train
133,P8527,2025-06-03 00:00:00,25.89,113.38,353.9,郴州市,白廊,资兴市,19.83,87,969.1,19.6,46.7052,train
134,57971,2025-06-03 00:00:00,25.91,112.21,224.2,永州市,新田,新田县,23.91,98,982.7,20.7,48.8385,train
135,P8246,2025-06-03 00:00:00,25.91,113.13,118.0,郴州市,飞天山,苏仙区,22.76,91,993.0,21.1,54.0802,test
136,P8540,2025-06-03 00:00:00,25.92,113.7,786.3,郴州市,青山,桂东县,20.73,86,920.6,20.5,37.6542,train
137,P7725,2025-06-03 00:00:00,25.93,111.73,157.7,永州市,塘底,双牌县,23.08,100,988.9,19.8,51.8289,train
138,P8545,2025-06-03 00:00:00,25.93,113.87,850.0,郴州市,大塘,桂东县,22.51,100,913.0,19.4,42.8302,train
139,P7803,2025-06-03 00:00:00,25.94,111.95,367.0,永州市,刘家坪,宁远县,21.03,90,970.8,20.0,46.4843,train
140,P8317,2025-06-03 00:00:00,25.94,112.62,245.0,郴州市,湘山,桂阳县,21.37,92,979.9,19.9,39.428,test
141,P8551,2025-06-03 00:00:00,25.94,113.95,774.6,郴州市,新坊,桂东县,21.8,91,922.1,20.4,36.6642,train
142,P7745,2025-06-03 00:00:00,25.96,111.87,377.0,永州市,黄江源,双牌县,20.86,95,964.3,19.0,40.8014,train
143,P8413,2025-06-03 00:00:00,25.97,112.81,259.5,郴州市,洋市,桂阳县,23.51,100,978.1,20.1,49.3823,train
144,P8392,2025-06-03 00:00:00,25.97,113.05,161.0,郴州市,五里牌,苏仙区,21.91,86,989.6,21.4,56.9948,train
145,57981,2025-06-03 00:00:00,25.97,113.22,139.3,郴州市,资兴,资兴市,23.22,94,991.9,20.9,55.6598,test
146,P8493,2025-06-03 00:00:00,25.97,113.45,311.0,郴州市,天鹅山,资兴市,23.23,100,971.5,19.9,54.8745,train
147,P7724,2025-06-03 00:00:00,25.98,111.86,365.0,永州市,麻江,双牌县,21.16,94,966.8,19.4,40.2922,train
148,P8390,2025-06-03 00:00:00,25.99,113.01,99.0,郴州市,栖凤渡,苏仙区,21.67,83,994.6,21.8,45.8602,train
149,P8681,2025-06-03 00:00:00,26.0,113.59,352.7,郴州市,团桥,资兴市,21.66,95,968.1,19.6,32.5761,train
150,P3918,2025-06-03 00:00:00,26.01,109.77,512.0,怀化市,陇城,通道侗族自治县,18.68,90,951.3,18.1,39.6916,test
151,P8265,2025-06-03 00:00:00,26.02,112.86,207.0,郴州市,文明,永兴县,21.36,87,985.1,20.8,39.4231,train
152,57962,2025-06-03 00:00:00,26.03,111.66,205.0,永州市,双牌,双牌县,23.51,100,984.8,20.1,59.9352,train
153,P8318,2025-06-03 00:00:00,26.03,112.53,341.1,郴州市,欧阳海,桂阳县,19.5,77,967.9,21.3,54.1711,train
154,P8417,2025-06-03 00:00:00,26.04,112.74,467.6,郴州市,青兰,桂阳县,19.04,79,955.9,20.5,36.531,train
155,P8267,2025-06-03 00:00:00,26.04,112.92,110.0,郴州市,儒林,永兴县,22.47,84,993.3,22.2,41.1602,test
156,P8514,2025-06-03 00:00:00,26.04,113.39,1102.0,郴州市,十龙潭,资兴市,16.61,100,886.5,14.6,44.0303,train
157,P8676,2025-06-03 00:00:00,26.05,112.8,289.0,郴州市,油麻,永兴县,23.66,100,976.2,20.2,49.172,train
158,P6618,2025-06-03 00:00:00,26.06,110.15,539.1,邵阳市,五团,城步苗族自治县,21.28,100,946.5,18.5,33.6959,train
159,P8403,2025-06-03 00:00:00,26.06,112.63,286.6,郴州市,桥市,桂阳县,21.14,83,975.7,21.4,47.9376,train
160,P8480,2025-06-03 00:00:00,26.06,113.28,140.0,郴州市,源兴,资兴市,23.43,96,991.0,20.7,57.0417,test
161,P3917,2025-06-03 00:00:00,26.08,109.55,455.3,怀化市,独坡,通道侗族自治县,20.2,92,957.6,19.0,36.8992,train
162,P4175,2025-06-03 00:00:00,26.08,109.81,407.3,怀化市,长安堡,通道侗族自治县,21.42,100,961.3,18.6,42.7479,train
163,P8481,2025-06-03 00:00:00,26.08,113.26,123.0,郴州市,东湾,资兴市,24.25,100,993.4,20.6,53.7077,train
164,57889,2025-06-03 00:00:00,26.08,113.94,834.1,郴州市,桂东,桂东县,18.42,75,914.5,20.8,36.1514,train
165,P8316,2025-06-03 00:00:00,26.09,112.47,307.0,郴州市,莲塘,桂阳县,21.27,83,973.7,21.5,43.2412,test
166,P6617,2025-06-03 00:00:00,26.1,110.28,777.7,邵阳市,汀坪,城步苗族自治县,19.36,100,919.3,17.0,35.1583,train
167,P8291,2025-06-03 00:00:00,26.1,112.86,185.6,郴州市,邝家,永兴县,22.48,91,986.7,20.9,40.4886,train
168,P8499,2025-06-03 00:00:00,26.1,113.54,620.0,郴州市,州门司,资兴市,19.73,100,937.6,17.3,49.2259,train
169,P7721,2025-06-03 00:00:00,26.11,111.81,234.0,永州市,茶林,双牌县,20.25,84,981.8,20.5,35.6562,train
170,P7723,2025-06-03 00:00:00,26.12,111.91,1512.2,永州市,阳明山,双牌县,14.44,94,843.8,13.4,34.1585,test
171,57887,2025-06-03 00:00:00,26.12,113.11,167.5,郴州市,永兴,永兴县,22.73,86,988.8,22.0,49.1368,train
172,P5837,2025-06-03 00:00:00,26.12,113.72,886.1,株洲市,龙凤,炎陵县,18.88,100,909.3,16.6,24.453,train
173,P8237,2025-06-03 00:00:00,26.13,112.81,199.0,郴州市,黄口堰水库,永兴县,22.9,91,982.5,21.2,45.2797,train
174,P7690,2025-06-03 00:00:00,26.14,111.71,295.0,永州市,克勤,零陵区,23.08,100,974.4,19.8,57.992,train
175,P8255,2025-06-03 00:00:00,26.14,112.38,972.0,郴州市,天塘山,桂阳县,16.48,89,900.4,16.3,38.7202,test
176,P6956,2025-06-03 00:00:00,26.15,112.51,188.0,衡阳市,庙前,常宁市,22.76,98,986.5,19.9,56.4501,train
177,P8304,2025-06-03 00:00:00,26.15,113.03,105.0,郴州市,洞洪,永兴县,21.8,81,995.4,22.3,43.2621,train
178,P8552,2025-06-03 00:00:00,26.15,114.13,489.0,郴州市,桥头,桂东县,21.74,99,953.1,19.0,35.4352,train
179,P6968,2025-06-03 00:00:00,26.16,112.68,69.6,衡阳市,白沙,常宁市,21.51,86,998.8,21.1,42.2829,train
180,P5820,2025-06-03 00:00:00,26.16,113.86,1183.6,株洲市,鑫山,炎陵县,16.61,100,878.5,14.6,39.7079,test
181,57845,2025-06-03 00:00:00,26.17,109.78,397.5,怀化市,通道,通道侗族自治县,19.57,88,963.5,19.2,43.0977,train
182,P6622,2025-06-03 00:00:00,26.17,110.12,1621.7,邵阳市,南山牧场,城步苗族自治县,12.69,81,833.8,13.7,27.984,train
183,P8296,2025-06-03 00:00:00,26.17,113.34,179.0,郴州市,花坪,永兴县,22.76,91,988.4,21.1,63.4863,train
184,P5830,2025-06-03 00:00:00,26.17,113.82,641.1,株洲市,平乐,炎陵县,22.15,99,937.3,19.3,32.9959,train
185,P8553,2025-06-03 00:00:00,26.17,114.18,454.2,郴州市,清泉,桂东县,22.24,100,958.6,19.2,33.3218,test
186,P6971,2025-06-03 00:00:00,26.19,112.27,670.0,衡阳市,塔山,常宁市,18.97,88,933.1,18.7,37.5078,train
187,P3914,2025-06-03 00:00:00,26.2,109.52,359.0,怀化市,播阳,通道侗族自治县,20.73,95,968.7,18.9,46.0299,train
188,P6957,2025-06-03 00:00:00,26.21,112.42,266.0,衡阳市,弥泉林场,常宁市,20.51,81,979.4,21.3,35.1552,train
189,P8238,2025-06-03 00:00:00,26.21,113.2,178.0,郴州市,涌水,永兴县,21.63,87,986.4,21.0,41.2347,train
190,P8279,2025-06-03 00:00:00,26.21,113.44,246.0,郴州市,大布江,永兴县,21.6,93,980.2,19.9,49.3693,test
191,P7517,2025-06-03 00:00:00,26.22,111.36,130.5,永州市,横糖,东安县,24.1,100,993.6,20.5,48.3755,train
192,57866,2025-06-03 00:00:00,26.23,111.62,172.6,永州市,永州,零陵区,22.24,94,988.8,20.2,48.2504,train
193,P8073,2025-06-03 00:00:00,26.23,111.78,220.4,永州市,公龙岭,零陵区,23.37,94,983.3,21.0,47.9471,train
194,P5859,2025-06-03 00:00:00,26.23,113.77,420.4,株洲市,心田,炎陵县,22.66,100,959.2,19.5,32.8448,train
195,P5874,2025-06-03 00:00:00,26.23,113.96,1203.4,株洲市,鹫峰,炎陵县,15.84,96,876.2,14.5,42.5738,test
196,P6614,2025-06-03 00:00:00,26.24,110.37,544.1,邵阳市,白毛坪,城步苗族自治县,19.73,100,944.7,17.3,34.7059,train
197,P6978,2025-06-03 00:00:00,26.24,112.32,192.0,衡阳市,天堂山,常宁市,22.66,100,986.8,19.5,55.8938,train
198,P6958,2025-06-03 00:00:00,26.24,112.46,166.0,衡阳市,罗桥,常宁市,21.53,84,989.3,21.5,49.8662,train
199,P7232,2025-06-03 00:00:00,26.24,112.96,112.0,衡阳市,上堡,耒阳市,23.44,85,995.3,22.7,49.9044,train
200,P5834,2025-06-03 00:00:00,26.24,113.89,772.8,株洲市,下村,炎陵县,20.11,100,921.3,17.6,36.6509,test
201,P8261,2025-06-03 00:00:00,26.26,113.12,168.0,郴州市,水湄,永兴县,24.16,99,988.4,20.7,50.7629,train
202,P6967,2025-06-03 00:00:00,26.27,112.37,128.0,衡阳市,板桥,常宁市,22.33,80,994.4,22.9,51.2424,train
203,P6979,2025-06-03 00:00:00,26.27,112.6,140.0,衡阳市,西岭,常宁市,20.16,74,992.2,22.5,40.6513,train
204,P8677,2025-06-03 00:00:00,26.27,113.36,193.0,郴州市,大枧,永兴县,21.49,87,985.1,20.9,39.3199,train
205,P6613,2025-06-03 00:00:00,26.28,110.1,820.8,邵阳市,长安营,城步苗族自治县,19.24,100,915.6,16.9,34.8363,test
206,P4095,2025-06-03 00:00:00,26.29,109.94,433.1,怀化市,石岩,通道侗族自治县,19.88,94,959.2,18.4,38.582,train
207,P6579,2025-06-03 00:00:00,26.29,110.78,338.5,邵阳市,崀山,新宁县,21.96,100,970.1,19.0,40.0554,train
