id,Lat,Lon,VAP,RHU,PRS,PWV,dataset
109,25.74,112.98,20.91,97,966.4,46.1373,train
110,25.74,113.66,21.27,91,958.4,32.9838,test
111,25.75,112.44,21.93,91,980.6,46.8023,train
112,25.75,112.72,19.75,84,971,50.9,train
113,25.75,113.04,21.34,88,986.4,47.1287,train
114,25.75,113.06,23.23,100,981.4,54.8745,train
115,25.76,112.35,23.72,99,983.1,47.4698,test
116,25.76,112.65,20.87,91,977.6,39.4601,train
117,25.77,112.8,21.66,91,984.4,37,train
118,25.77,113.31,22.06,95,965.2,57.5801,train
119,25.78,111.44,19.16,82,967.9,33.1898,train
120,25.78,112.5,23.62,98,991.6,47.522,test
121,25.78,112.92,23.08,100,975.9,52.1365,train
122,25.78,113.06,21.63,92,985.9,50.1569,train
123,25.79,113.12,22.11,97,987.5,44.7337,train
124,25.81,112.12,21.12,95,951.8,48.4387,train
125,25.81,112.28,21.96,90,988.5,47.062,test
126,25.81,112.33,21.56,90,987.1,41.4949,train
127,25.81,113.04,21.77,92,985.8,50.1289,train
128,25.82,112.75,21.77,92,983.1,36.5133,train
129,25.82,113.1,23.51,100,985.7,55.1027,train
130,25.83,111.99,21.37,92,978.8,41.5373,test
131,25.84,113.17,22.94,100,988,50.2498,train
