id,Lat,Lon,rh,sp,t2m,PWV,dataset
466,27.1,111.7,74.39,98115.95,20.38,35.0454,train
467,27.1,112.09,74.78,98335.19,20.56,46.4528,train
468,27.1,112.75,78.36,99334.95,21.2,53.5069,train
469,27.1,113.14,78.67,98866.27,20.91,46.2929,train
470,27.11,111.03,74.43,98104.27,20.38,44.6,test
471,27.12,109.62,74.47,98092.59,20.37,42.4516,train
472,27.12,109.7,74.47,98092.59,20.37,42.4591,train
473,27.12,109.98,74.47,98092.59,20.37,39.7542,train
474,27.12,112.59,77.44,99178.03,21.06,50.919,train
475,27.12,113.53,80.97,97709.75,20.2,39.9123,test
476,27.13,111.94,74.51,98080.91,20.37,42.9394,train
477,27.13,112.69,78.37,99253.47,21.14,55.6511,train
478,27.13,113.67,81.17,96882.11,19.84,48.9557,train
479,27.14,109.97,74.55,98069.23,20.36,42.4056,train
480,27.14,113.23,79.1,98725.55,20.79,48.9867,test
481,27.15,110.73,74.59,98057.55,20.36,32.1231,train
482,27.15,112.29,75.7,98733.19,20.8,43.169,train
483,27.15,112.42,76.16,98925.95,20.93,54.3879,train
484,27.15,112.8,78.99,99190.95,21.16,56.0125,train
485,27.15,113.37,79.96,98415.55,20.59,44.1526,test
486,27.15,113.53,81.59,97686.59,20.18,32.7296,train
487,27.15,113.66,81.68,96910.47,19.85,45.5441,train
488,27.16,113.31,79.64,98593.23,20.7,38.201,train
489,27.17,111.9,74.67,98034.19,20.35,49.8279,train
490,27.18,109.13,74.71,98022.51,20.34,33.4128,test
491,27.18,111.45,74.71,98022.51,20.34,46.8137,train
492,27.18,113.15,79.72,98962.99,20.95,44.2014,train
493,27.19,110.17,74.75,98010.83,20.34,41.5797,train
494,27.19,110.4,74.75,98010.83,20.34,47.9277,train
495,27.19,111.58,74.75,98010.83,20.34,41.8668,test
496,27.19,112.23,75.7,98570.63,20.75,57.6529,train
497,27.2,112.49,76.68,98939.35,20.98,57.0274,train
498,27.2,113.19,79.94,98903.79,20.9,38.4571,train
499,27.21,109.84,74.83,97987.47,20.33,40.3878,train
500,27.21,111.45,74.83,97987.47,20.33,45.2955,test
501,27.21,111.58,74.83,97987.47,20.33,39.9505,train
502,27.21,112.87,79.92,99214.67,21.18,53.8219,train
503,27.21,113.58,82.87,97339.67,20.01,49.6588,train
504,27.22,110.67,74.87,97975.79,20.32,48.9697,train
505,27.22,112.31,76.13,98674.31,20.84,52.311,test
506,27.22,112.75,79.82,99192.39,21.18,51.7673,train
507,27.22,113.03,80.39,99289.39,21.18,53.3868,train
508,27.22,113.11,80.29,99111.47,21.05,55.8764,train
509,27.22,113.73,83.19,96435.59,19.62,42.9128,train
510,27.22,113.8,82.9,96221.03,19.57,40.9079,test
511,27.23,109.29,74.91,97964.11,20.32,33.4177,train
512,27.23,109.73,74.91,97964.11,20.32,46.35,train
513,27.23,113.3,80.73,98649.19,20.72,53.5809,train
514,27.23,113.43,82.34,98100.59,20.39,47.3145,train
515,27.24,111.37,74.95,97952.43,20.31,29.1095,test
516,27.24,111.74,74.95,97952.43,20.31,46.1,train
517,27.24,112.84,80.27,99229.79,21.19,45.8483,train
518,27.25,112.36,76.48,98692.75,20.88,44.1086,train
519,27.25,113.22,80.56,98911.47,20.89,27.6026,train
520,27.26,111.15,75.01,97951.83,20.31,38.1141,test
521,27.26,112.84,80.49,99253.35,21.2,57.4765,train
522,27.26,113.7,83.97,96626.83,19.69,45.1549,train
523,27.28,112.94,80.89,99368.47,21.22,53.4137,train
524,27.28,113.57,84.16,97487.35,20.05,50.8569,train
525,27.29,112.09,75.55,98208.63,20.51,51.1404,test
526,27.3,112.69,79.69,99110.67,21.13,44.7796,train
527,27.31,109.48,75.12,98007.23,20.34,36.9729,train
528,27.31,112.89,80.98,99345.95,21.2,51.9303,train
529,27.31,113.08,81.23,99353.63,21.16,55.8048,train
530,27.31,113.62,84.7,97305.19,19.96,49.7675,test
531,27.32,109.06,75.14,98018.31,20.34,37.0313,train
532,27.32,110.16,75.14,98018.31,20.34,45.2877,train
533,27.32,110.41,75.14,98018.31,20.34,31.5517,train
534,27.32,112.6,78.65,99017.79,21.07,37.1682,train
535,27.32,113.28,81.49,98870.75,20.82,46.4055,test
536,27.33,111.87,75.16,98029.39,20.35,48.4109,train
537,27.33,112.1,75.76,98281.63,20.56,49.2754,train
538,27.33,112.66,79.47,99089.79,21.11,59.0709,train
539,27.33,113.4,83.06,98386.15,20.51,46.2034,train
540,27.34,109.91,75.18,98040.47,20.35,49.1486,test
541,27.34,111.45,75.18,98040.47,20.35,43.4,train
542,27.34,113.51,84.36,97952.79,20.25,40.354,train
543,27.35,109.84,75.2,98051.55,20.36,48.8425,train
544,27.35,112.59,78.68,99019.47,21.07,52.7085,train
545,27.36,111.09,75.22,98062.63,20.36,31.8938,test
546,27.36,112.78,80.76,99269.59,21.15,53.628,train
547,27.36,113.16,81.56,99284.71,21.07,53.1838,train
548,27.37,109.16,75.24,98073.71,20.37,47.6,train
549,27.37,110.94,75.24,98073.71,20.37,30.348,train
550,27.37,111.67,75.24,98073.71,20.37,31.7516,test
551,27.37,112.52,77.9,98949.15,21.02,53.4207,train
552,27.37,112.82,81.05,99322.19,21.16,57.7053,train
553,27.37,113.21,81.59,99195.31,21,53.3688,train
554,27.38,112.03,75.46,98161.11,20.44,54.3887,train
555,27.38,112.23,76.54,98659.11,20.85,47.6443,test
556,27.38,112.57,78.59,99009.87,21.05,49.1119,train
557,27.38,112.99,81.76,99504.87,21.22,45.5476,train
558,27.4,109.25,75.3,98106.95,20.38,44.2215,train
559,27.4,110.51,75.3,98106.95,20.38,35.4709,train
560,27.4,111.27,75.3,98106.95,20.38,56.4702,test
561,27.4,111.99,75.3,98106.95,20.38,48.9631,train
562,27.4,112.43,77.47,98903.43,21,40.7899,train
563,27.4,113.45,84.14,98339.35,20.44,52.6607,train
564,27.41,109.81,75.32,98118.03,20.39,45.4281,train
565,27.41,112.64,79.55,99115.99,21.09,57.1641,test
566,27.41,113.34,82.99,98813.75,20.73,50.7396,train
567,27.42,110.61,75.34,98129.11,20.39,35.5719,train
568,27.42,113.09,82.07,99466.87,21.16,55.9185,train
569,27.43,109.36,75.36,98140.19,20.4,43.5935,train
570,27.43,112.11,76.08,98420.03,20.64,47.1496,test
571,27.43,113.04,82.15,99521.63,21.19,50.1757,train
572,27.44,111.43,75.38,98151.27,20.4,39.647,train
573,27.44,111.97,75.38,98151.27,20.4,45.8314,train
574,27.44,112.14,76.29,98507.43,20.71,32.6019,train
575,27.44,113.16,82.21,99419.99,21.1,53.7436,test
576,27.45,109.68,75.4,98162.35,20.41,43.0104,train
577,27.45,109.76,75.4,98162.35,20.41,54.8114,train
578,27.45,111.18,75.4,98162.35,20.41,49.8885,train
579,27.45,112.17,76.51,98594.83,20.78,50.3,train
580,27.46,109.95,75.42,98173.43,20.41,46.04,test
581,27.46,113.39,83.91,98723.35,20.65,54.4953,train
582,27.47,111.73,75.44,98184.51,20.42,35.1539,train
583,27.47,112.43,77.85,98933.67,21,44.1488,train
584,27.47,112.73,80.73,99286.03,21.09,49.7879,train
585,27.47,113.53,85.49,98164.07,20.31,50.0842,test
586,27.48,112.19,76.7,98678.95,20.84,45.2791,train
587,27.49,111.93,75.49,98206.67,20.43,20.5054,train
588,27.49,112.27,77.17,98859.75,20.99,43.796,train
589,27.49,113.23,82.57,99399.39,21.05,63.1423,train
590,27.49,113.6,86.33,97904.79,20.18,46.1143,test
591,27.5,112.83,81.57,99426.63,21.13,47.1902,train
592,27.5,113.01,82.67,99610.55,21.2,43.5661,train
593,27.51,109.45,75.46,98229.83,20.43,45.1626,train
594,27.51,111.57,75.46,98229.83,20.43,39.8043,train
595,27.51,113.49,85.35,98414.79,20.43,36.9184,test
596,27.52,110.18,75.41,98241.91,20.44,43.7433,train
597,27.52,111.76,75.41,98241.91,20.44,46.0593,train
598,27.52,112.1,76.06,98496.31,20.66,48.6434,train
599,27.53,110.35,75.36,98253.99,20.44,42.9679,train
600,27.53,110.77,75.36,98253.99,20.44,32.9722,test
601,27.53,112.23,76.89,98847.39,20.94,42.7237,train
602,27.53,112.34,77.62,98951.79,21,46.9517,train
603,27.53,112.51,78.51,99048.47,21.02,56.4808,train
604,27.53,113,82.65,99650.47,21.2,46.1953,train
605,27.53,113.14,82.8,99520.95,21.11,46.1561,test
606,27.53,113.28,83.12,99296.63,20.96,43.4915,train
607,27.55,111.68,75.26,98278.15,20.44,48.1747,train
608,27.55,113.16,82.9,99522.55,21.09,44.6874,train
609,27.56,112.01,75.28,98315.67,20.46,47.732,train
610,27.56,112.92,82.12,99590.31,21.16,44.3916,test
611,27.57,111.37,75.17,98302.31,20.44,52.8243,train
612,27.57,113.36,84.2,99008.31,20.75,46.9573,train
613,27.58,111.02,75.12,98314.39,20.44,41.5322,train
614,27.58,111.81,75.12,98314.39,20.44,43.3088,train
615,27.58,112.09,75.7,98543.35,20.64,43.3256,test
616,27.58,112.65,80.1,99332.15,21.06,54.9007,train
617,27.59,110.28,75.07,98326.47,20.44,48.5748,train
618,27.59,110.96,75.07,98326.47,20.44,36.5488,train
619,27.59,111.77,75.07,98326.47,20.44,42.9607,train
620,27.59,111.9,75.07,98326.47,20.44,47.7761,test
621,27.59,113.49,85.49,98677.83,20.54,45.3479,train
622,27.59,113.59,86.45,98267.27,20.34,46.842,train
623,27.6,111.48,75.02,98338.55,20.44,42.7863,train
624,27.6,112.35,77.78,99077.35,21,55.5432,train
625,27.61,110.03,74.98,98350.63,20.44,43.4457,test
626,27.61,110.1,74.98,98350.63,20.44,41.8015,train
627,27.61,113.1,83.14,99637.99,21.13,41.693,train
628,27.61,113.14,83.19,99600.95,21.1,55.743,train
629,27.62,111.1,74.93,98362.71,20.44,40.8575,train
630,27.62,111.62,74.93,98362.71,20.44,48.2726,test
631,27.62,112.71,80.41,99496.23,21.09,52.1252,train
632,27.63,110.6,74.88,98374.79,20.44,43.9154,train
633,27.63,111.69,74.88,98374.79,20.44,49.0139,train
634,27.63,111.93,74.88,98374.79,20.44,48.2062,train
635,27.63,112.24,76.91,99084.71,20.97,44.8899,test
636,27.63,112.25,77.02,99118.43,20.99,10.0193,train
637,27.63,112.38,77.97,99144.43,21,46.4458,train
638,27.63,113.24,83.28,99528.95,21.03,53.0048,train
639,27.64,110.32,74.83,98386.87,20.44,36.2038,train
640,27.64,112.34,77.67,99156.79,21,49.3983,test
641,27.64,112.58,79.44,99336.51,21.04,40.8236,train
642,27.64,112.63,79.88,99409.75,21.06,41.8459,train
643,27.64,113.37,84.62,99060.15,20.74,29.6809,train
644,27.64,113.51,85.75,98780.47,20.58,52.2,train
645,27.65,111.56,74.78,98398.95,20.45,41.239,test
646,27.65,112,74.78,98398.95,20.45,46.5413,train
647,27.66,111.77,74.73,98411.03,20.45,46.2455,train
648,27.66,111.83,74.73,98411.03,20.45,42.5419,train
649,27.66,112.45,78.37,99232.15,21.01,47.1102,train
650,27.66,113.16,83.43,99632.55,21.09,52.746,test
651,27.67,109.71,74.69,98423.11,20.45,46.1165,train
652,27.67,109.85,74.69,98423.11,20.45,47.1333,train
653,27.67,110.16,74.69,98423.11,20.45,45.4763,train
654,27.67,113.02,82.68,99774.95,21.18,34.4745,train
655,27.68,113.07,82.94,99737.99,21.15,42.4227,test
656,27.68,113.18,83.52,99634.15,21.07,48.545,train
657,27.68,113.46,85.4,99028.23,20.7,47.759,train
658,27.69,110.68,74.59,98447.27,20.45,34.7408,train
659,27.69,111.28,74.59,98447.27,20.45,43.1319,train
660,27.69,112,74.59,98447.27,20.45,44.5,test
661,27.69,112.11,75.5,98768.51,20.69,45.4548,train
662,27.69,112.21,76.55,99105.71,20.91,47.4823,train
663,27.7,109.6,74.54,98459.35,20.45,46.7858,train
664,27.7,111.44,74.54,98459.35,20.45,48.2124,train
665,27.7,111.7,74.54,98459.35,20.45,46.2,test
666,27.7,112.97,82.36,99790.47,21.18,53.9346,train
667,27.71,112.6,79.47,99493.07,21.05,50.8714,train
668,27.71,113.37,84.74,99290.31,20.84,42.8857,train
669,27.72,111.63,74.44,98483.51,20.45,44.052,train
670,27.72,111.77,74.44,98483.51,20.45,37.659,test
671,27.72,112.34,77.6,99319.67,21,49.4635,train
672,27.72,113.32,84.36,99413.99,20.91,43.4497,train
673,27.73,110.41,74.4,98495.59,20.45,49.3009,train
674,27.73,112,74.4,98495.59,20.45,50.385,train
675,27.73,112.72,80.1,99715.39,21.11,44.9409,test
676,27.73,113.5,85.8,99119.99,20.73,29.9715,train
677,27.73,113.67,88.35,98868.39,20.58,46.1944,train
678,27.74,110.53,74.35,98507.67,20.45,42.9664,train
679,27.74,113.05,82.8,99818.31,21.16,49.8097,train
680,27.74,113.11,83.12,99761.67,21.12,45.3419,test
681,27.75,110.14,74.3,98519.75,20.45,45.5579,train
682,27.75,110.89,74.3,98519.75,20.45,34.4068,train
683,27.75,111.29,74.3,98519.75,20.45,43.6,train
684,27.75,112.02,74.51,98587.19,20.5,49.2805,train
685,27.75,112.51,78.81,99428.19,21.02,45.8,test
686,27.75,113.27,84.01,99603.43,21,51.3606,train
687,27.76,111.92,74.19,98460.75,20.42,46.2788,train
688,27.76,112.47,78.41,99381.07,20.99,42.9861,train
689,27.76,113.69,88.76,98970.23,20.61,48.2907,train
690,27.77,112.07,74.78,98704.43,20.57,46.4056,test
691,27.77,113.21,83.52,99680.31,21.03,42.5658,train
692,27.77,113.32,84.38,99470.71,20.92,50.6983,train
693,27.77,113.39,84.93,99343.59,20.84,51.5538,train
694,27.78,111.49,73.96,98342.75,20.35,35.3794,train
695,27.78,111.75,73.96,98342.75,20.35,48.9128,test
696,27.78,111.88,73.96,98342.75,20.35,49.8934,train
697,27.78,111.96,73.96,98342.75,20.35,48.1025,train
698,27.78,112.77,80.17,99812.95,21.12,48.5167,train
699,27.78,113.29,84.13,99504.23,20.93,51.4066,train
700,27.79,111.06,73.85,98283.75,20.32,33.1517,test
701,27.79,112.95,81.76,99871.07,21.16,37.6379,train
702,27.79,113.14,83.03,99749.19,21.06,45.2538,train
703,27.8,112.6,78.96,99580.55,21.04,45.3007,train
704,27.8,113.16,83.07,99731.71,21.04,52.1595,train
705,27.8,113.43,85.2,99208.07,20.75,49.3183,test
706,27.81,112.01,73.71,98232.79,20.29,45.251,train
707,27.81,112.32,76.66,99222.67,20.9,51.2745,train
708,27.81,113.04,82.38,99846.39,21.11,46.1737,train
709,27.81,113.05,82.43,99836.95,21.1,48.4071,train
710,27.81,113.08,82.59,99808.63,21.08,50.1068,test
711,27.81,113.22,83.47,99650.79,20.98,38.9746,train
712,27.82,111.67,73.51,98106.75,20.22,53.071,train
713,27.82,112.22,75.71,99081.83,20.81,44.2215,train
714,27.82,113.11,82.69,99781.71,21.06,44.8767,train
715,27.82,113.23,83.55,99625.63,20.97,42.1493,test
716,27.83,109.62,73.4,98047.75,20.18,39.0938,train
717,27.83,112.94,81.4,99876.15,21.13,42.4787,train
718,27.83,113.01,82.1,99877.51,21.11,51.8932,train
719,27.83,113.35,84.53,99290.47,20.78,51.3089,train
720,27.83,113.47,85.48,99072.55,20.65,36.9919,test
721,27.84,111.85,73.28,97988.75,20.15,45.5582,train
722,27.84,112.52,78.04,99491.55,20.99,39.6927,train
723,27.84,113.17,82.93,99719.31,20.99,41.7177,train
724,27.85,110.69,73.17,97929.75,20.11,54.2861,train
725,27.85,111.78,73.17,97929.75,20.11,41.3376,test
726,27.85,112.39,76.67,99133.95,20.84,46.1411,train
727,27.85,113.27,83.86,99504.23,20.88,51.3173,train
728,27.85,113.38,84.73,99194.07,20.72,33.3876,train
729,27.86,109.81,73.06,97870.75,20.08,48.1,train
730,27.86,109.92,73.06,97870.75,20.08,46.3371,test
731,27.86,112.9,80.79,99873.15,21.12,41.8944,train
732,27.86,113.23,83.49,99596.99,20.92,51.5354,train
733,27.87,110.01,72.94,97811.75,20.05,34.374,train
734,27.87,110.09,72.94,97811.75,20.05,46.3179,train
735,27.87,113.17,82.89,99697.83,20.96,52.9195,test
736,27.87,113.62,87.04,98966.87,20.58,41.5784,train
737,27.88,109.45,72.83,97752.75,20.01,35.6486,train
738,27.88,109.7,72.83,97752.75,20.01,46.8247,train
739,27.88,110.4,72.83,97752.75,20.01,49.8775,train
740,27.88,110.73,72.83,97752.75,20.01,43.6693,test
741,27.88,111.37,72.83,97752.75,20.01,47.3888,train
742,27.88,111.65,72.83,97752.75,20.01,38.4645,train
743,27.88,112.83,79.98,99858.23,21.1,45.729,train
744,27.88,113.07,82.11,99827.87,21.03,44.01,train
745,27.88,113.12,82.38,99780.67,20.99,48.5252,test
746,27.88,113.43,85.08,99040.39,20.62,49.8898,train
747,27.88,113.49,85.56,98931.43,20.55,50.4823,train
748,27.89,109.55,72.72,97693.75,19.98,29.1241,train
749,27.89,109.64,72.72,97693.75,19.98,46.0368,train
750,27.89,109.89,72.72,97693.75,19.98,49.1482,test
751,27.89,111.52,72.72,97693.75,19.98,39.2374,train
752,27.89,112.53,77.63,99533.99,20.97,30.1444,train
753,27.89,112.59,78.12,99606.23,21,45.2854,train
754,27.89,112.97,81.36,99889.95,21.07,43.3489,train
755,27.9,113.21,83.24,99604.35,20.9,43.0973,test
756,27.91,109.31,72.49,97575.75,19.91,35.7624,train
757,27.91,110.6,72.49,97575.75,19.91,45.4,train
758,27.91,111.85,72.49,97575.75,19.91,41.2857,train
759,27.91,113.69,87.91,98861.03,20.5,35.7671,train
760,27.92,109.61,72.38,97516.75,19.88,41.0475,test
761,27.92,111.97,72.38,97516.75,19.88,41.2706,train
762,27.92,112.12,73.45,98321.23,20.34,34.6872,train
763,27.92,112.43,76.37,99279.79,20.85,62.5373,train
764,27.92,112.59,77.83,99624.47,20.99,35.4186,train
765,27.92,112.96,81.07,99892.35,21.05,46.2088,test
766,27.92,113.52,85.81,98834.87,20.48,46.598,train
767,27.93,113.07,81.81,99834.87,20.98,47.4499,train
768,27.94,112.3,74.85,98884.83,20.68,58.3822,train
769,27.94,113,81.38,99902.35,21.02,48.4642,train
770,27.94,113.25,83.57,99503.71,20.82,48.328,test
771,27.95,109.6,72.04,97339.75,19.77,46.4,train
772,27.95,110.77,72.04,97339.75,19.77,43.2246,train
773,27.95,110.84,72.04,97339.75,19.77,40.5752,train
774,27.95,113.14,82.47,99694.55,20.9,45.2479,train
775,27.95,113.18,82.87,99622.55,20.87,44.8374,test
776,27.95,113.66,87.38,98810.07,20.45,45.1305,train
777,27.96,109.99,71.93,97280.75,19.74,46.4037,train
778,27.96,110.16,71.93,97280.75,19.74,41.9866,train
779,27.96,112.47,76.4,99439.15,20.89,37.2305,train
780,27.96,113.17,82.75,99633.39,20.86,51.1032,test
781,27.97,110.29,71.81,97221.75,19.71,50.6671,train
782,27.97,110.34,71.81,97221.75,19.71,33.467,train
783,27.97,112.32,74.74,98938.83,20.68,52.8869,train
784,27.97,113.23,83.33,99518.23,20.8,41.5262,train
785,27.98,109.35,71.7,97162.75,19.67,37.9148,test
786,27.98,111.66,71.7,97162.75,19.67,38.9546,train
787,27.98,113.73,88.14,98766.23,20.41,49.7413,train
788,27.99,109.51,71.59,97103.75,19.64,44.5389,train
789,27.99,112.01,71.68,97170.79,19.68,53.494,train
790,27.99,112.98,80.86,99905.75,20.98,41.0769,test
791,28,109.8,71.47,97044.75,19.6,43.7074,train
792,28,109.89,71.47,97044.75,19.6,46.6781,train
793,28,112.12,72.55,97849.23,20.07,46.0939,train
794,28,112.46,75.9,99429.71,20.86,48.1607,train
795,28,113.19,82.89,99568.75,20.8,48.9518,test
796,28,113.43,84.91,98885.47,20.46,47.2119,train
797,28,113.77,88.57,98685.43,20.39,38.7254,train
798,28.01,110,71.36,97043.35,19.6,47.544,train
799,28.01,110.19,71.36,97043.35,19.6,47.3,train
800,28.01,112.98,80.66,99909.51,20.96,47.5992,test
801,28.02,109.52,71.24,97041.95,19.59,35.4992,train
802,28.02,111.28,71.24,97041.95,19.59,49.9449,train
803,28.02,112.5,75.98,99580.19,20.91,41.931,train
804,28.03,110.44,71.12,97040.55,19.58,42.2061,train
805,28.03,112.03,71.28,97221.99,19.68,45.4368,test
806,28.03,112.26,73.36,98730.63,20.55,56.188,train
807,28.03,112.38,74.61,99135.75,20.72,35.6165,train
808,28.03,112.79,78.34,99880.03,20.99,43.1111,train
809,28.04,109.46,71,97039.15,19.57,37.6343,train
810,28.04,111.09,71,97039.15,19.57,51.0517,test
811,28.04,111.83,71,97039.15,19.57,47.3999,train
812,28.04,112.99,80.34,99918.39,20.93,50.1181,train
813,28.05,110.76,70.88,97037.75,19.57,43.6032,train
814,28.05,112.64,76.61,99771.91,20.96,43.7602,train
815,28.05,113,80.3,99922.55,20.92,43.9596,test
816,28.05,113.93,89.46,98139.87,20.17,30.7969,train
817,28.06,111.76,70.76,97036.35,19.56,35.1539,train
818,28.07,109.38,70.64,97034.95,19.55,36.8285,train
819,28.07,110.09,70.64,97034.95,19.55,38.2705,train
820,28.07,112.92,79.16,99912.87,20.92,48.9801,test
821,28.07,113.12,81.27,99744.59,20.76,51.7866,train
822,28.07,113.56,84.87,98455.43,20.01,39.1993,train
823,28.07,113.99,89.16,97804.99,20.02,45.2522,train
824,28.08,109.75,70.52,97033.55,19.54,31.1448,train
825,28.08,111.37,70.52,97033.55,19.54,47.9699,test
826,28.08,112.99,79.76,99927.83,20.9,46.2932,train
827,28.08,113.47,84.33,98810.11,20.21,53.9076,train
828,28.09,113.18,81.59,99650.83,20.68,44.6801,train
829,28.09,113.87,87.98,98120.03,19.94,45.1324,train
830,28.1,109.6,70.28,97030.75,19.53,40.6708,test
831,28.1,111.58,70.28,97030.75,19.53,56.1195,train
832,28.1,111.94,70.28,97030.75,19.53,39.8741,train
833,28.1,112.74,76.85,99859.63,20.95,42.6799,train
834,28.1,112.86,78.09,99909.15,20.91,45.7016,train
835,28.11,109.89,70.17,97029.35,19.52,39.1005,test
836,28.11,112.79,77.23,99880.99,20.93,40.6737,train
837,28.11,112.93,78.69,99924.11,20.89,44.1343,train
838,28.11,113.03,79.77,99896.99,20.82,47.4981,train
839,28.12,112.23,71.69,98491.15,20.35,33.8804,train
840,28.12,112.98,79.08,99935.47,20.87,44.9574,test
841,28.13,109.73,69.93,97026.55,19.5,43.7305,train
842,28.13,109.89,69.93,97026.55,19.5,43.0108,train
843,28.13,112.03,70.09,97207.99,19.61,46.5986,train
844,28.13,112.67,75.66,99830.19,20.93,49.3951,train
845,28.13,112.9,78.09,99923.43,20.87,41.7052,test
846,28.13,112.92,78.3,99927.03,20.87,42.8979,train
847,28.13,113.37,82.97,99163.07,20.27,43.9198,train
848,28.14,111.66,69.81,97025.15,19.5,46.1828,train
849,28.14,112.96,78.58,99936.59,20.85,41.9772,train
850,28.14,112.99,78.91,99941.99,20.84,37.1955,test
851,28.15,109.38,69.69,97023.75,19.49,30.7791,train
852,28.16,109.73,69.57,97022.35,19.48,49.1482,train
853,28.16,110.64,69.57,97022.35,19.48,43.9226,train
854,28.16,112.98,78.51,99944.91,20.83,47.3021,train
855,28.16,113.63,84.08,98220.19,19.61,52,test
856,28.17,109.61,69.45,97020.95,19.47,35.3839,train
857,28.17,109.95,69.45,97020.95,19.47,46.7742,train
858,28.17,110.21,69.45,97020.95,19.47,39.6571,train
859,28.17,112.94,77.94,99940.07,20.83,43.9675,train
860,28.17,113.1,79.67,99818.47,20.67,44.4473,test
861,28.17,113.13,80,99778.75,20.62,47.6615,train
862,28.18,109.46,69.33,97019.55,19.46,20.9577,train
863,28.18,112.76,75.96,99866.51,20.9,47.2245,train
864,28.18,113.85,85.68,97757.79,19.43,39.6305,train
865,28.19,110.11,69.21,97018.15,19.46,46.2689,test
866,28.19,111.96,69.21,97018.15,19.46,23.118,train
867,28.19,112.52,73.29,99735.51,20.86,44.9255,train
868,28.19,112.94,77.66,99944.79,20.81,50.5285,train
869,28.19,112.97,77.98,99950.19,20.81,43.2074,train
870,28.19,113.02,78.51,99929.11,20.77,54.5825,test
871,28.19,113.52,83.41,98702.31,19.86,44.1996,train
872,28.2,109.83,69.09,97016.75,19.45,37.0532,train
873,28.2,109.98,69.09,97016.75,19.45,40.6029,train
874,28.2,112.91,77.21,99931.51,20.82,42.6452,train
875,28.2,112.92,77.31,99935.87,20.81,47.1029,test
876,28.2,113,78.15,99957.95,20.79,42.0298,train
877,28.2,113.05,78.7,99891.75,20.72,47.3506,train
878,28.2,114.08,86.32,97101.19,19.38,37.2884,train
879,28.21,109.56,68.97,97015.35,19.44,29.5795,train
880,28.21,109.67,68.97,97015.35,19.44,48.8953,test
881,28.21,109.7,68.97,97015.35,19.44,44.5949,train
882,28.21,109.81,68.97,97015.35,19.44,49.1869,train
883,28.21,110.23,68.97,97015.35,19.44,49.9173,train
884,28.21,112.73,75.23,99853.31,20.88,45.7545,train
885,28.21,112.96,77.58,99953.11,20.79,43.0742,test
886,28.21,113.03,78.34,99920.59,20.74,47.0554,train
887,28.21,113.06,78.66,99880.87,20.69,43.8566,train
888,28.21,113.2,80.18,99695.51,20.48,45.9,train
889,28.22,110.09,68.86,97013.95,19.43,45.1208,train
890,28.22,112.11,69.45,97679.23,19.81,53.9574,test
891,28.22,112.26,70.42,98579.39,20.32,40.5528,train
892,28.22,112.8,75.82,99883.15,20.85,48.4575,train
893,28.22,112.94,77.24,99944.19,20.79,48.739,train
894,28.22,113.11,79.06,99817.03,20.61,35.9561,train
895,28.22,113.19,79.93,99711.11,20.49,30.9842,test
896,28.23,109.57,68.74,97012.55,19.43,35.2609,train
897,28.23,110.29,68.74,97012.55,19.43,33.0011,train
898,28.23,112.69,74.51,99836.43,20.86,41.3067,train
899,28.23,112.96,77.31,99952.71,20.78,46.8875,train
900,28.23,113.01,77.83,99951.79,20.75,39.9415,test
901,28.23,113.06,78.38,99885.59,20.67,39.9073,train
902,28.24,109.68,68.62,97011.15,19.42,45.1,train
903,28.24,110.02,68.62,97011.15,19.42,51.269,train
904,28.24,112.72,74.7,99848.59,20.85,41.4782,train
905,28.24,112.97,77.27,99956.87,20.76,44.6913,test
906,28.24,113,77.58,99967.39,20.75,46.56,train
907,28.24,113.01,77.69,99954.15,20.74,46.9046,train
908,28.25,110.83,68.5,97009.75,19.41,41.5465,train
909,28.25,111.71,68.5,97009.75,19.41,51.652,train
910,28.25,112.54,72.57,99774.23,20.83,44.5,test
911,28.25,113.08,78.31,99863.83,20.63,43.0719,train
912,28.26,109.64,68.27,97095.59,19.45,47.88,train
913,28.26,109.92,68.27,97095.59,19.45,54.7174,train
914,28.26,111.79,68.27,97095.59,19.45,50.6107,train
915,28.26,112.96,76.81,99942.91,20.75,52.089,test
916,28.26,112.98,77.02,99951.63,20.74,44.2711,train
917,28.26,113.16,78.93,99737.83,20.49,35.2821,train
918,28.27,112.83,75.27,99876.83,20.79,38.9866,train
919,28.27,114.09,84.53,96676.59,18.98,44.1258,train
920,28.28,109.68,67.82,97267.27,19.54,46.4264,test
921,28.28,109.79,67.82,97267.27,19.54,48.086,train
922,28.28,109.83,67.82,97267.27,19.54,53.8792,train
923,28.28,112.55,72.01,99850.59,20.87,38.2428,train
924,28.28,112.68,73.45,99904.15,20.88,35.3281,train
925,28.28,112.85,75.25,99876.15,20.76,33.1457,test
926,28.28,112.91,75.86,99902.31,20.74,40.9773,train
927,28.28,112.97,76.47,99928.47,20.71,42.3317,train
928,28.28,113.91,83,96945.19,18.82,39.9089,train
929,28.29,110.32,67.59,97353.11,19.58,40.8696,train
930,28.29,111.29,67.59,97353.11,19.58,45.7198,test
931,28.29,112.23,68.89,98674.15,20.34,46.0551,train
932,28.29,112.79,74.42,99840.59,20.78,51.7118,train
933,28.29,112.85,75.03,99866.75,20.75,45.3234,train
934,28.29,113.18,78.41,99651.11,20.39,37.7706,train
