id,Lat,Lon,rh,sp,t2m,PWV,dataset
107,25.74,112.4,77.14,97284.19,19.89,52.4717,train
108,25.74,112.85,80.02,96182.47,19.37,37.4044,train
109,25.74,112.98,78.89,95839.79,19.2,46.1373,train
110,25.74,113.66,85.97,92581.31,19.21,32.9838,test
111,25.75,112.44,77.72,97321.67,19.91,46.8023,train
112,25.75,112.72,80.59,96577.67,19.55,50.9,train
113,25.75,113.04,78.83,95639.15,19.12,47.1287,train
114,25.75,113.06,78.9,95548.35,19.09,54.8745,train
115,25.76,112.35,76.19,97352.95,19.93,47.4698,test
116,25.76,112.65,79.89,96858.03,19.68,39.4601,train
117,25.77,112.8,80.21,96451.71,19.49,37,train
118,25.77,113.31,80.56,94559.83,18.86,57.5801,train
119,25.78,111.44,80.48,96200.31,19.49,33.1898,train
120,25.78,112.5,78.64,97272.95,19.87,47.522,test
121,25.78,112.92,79.06,96187.27,19.36,52.1365,train
122,25.78,113.06,78.88,95802.99,19.22,50.1569,train
123,25.79,113.12,79.1,95615.47,19.16,44.7337,train
124,25.81,112.12,77.57,96305.19,19.44,48.4387,train
125,25.81,112.28,75.02,97142.51,19.82,47.062,test
126,25.81,112.33,75.71,97323.59,19.9,41.4949,train
127,25.81,113.04,78.65,96165.87,19.39,50.1289,train
128,25.82,112.75,80.11,96842.91,19.67,36.5133,train
129,25.82,113.1,79,95960.91,19.32,55.1027,train
130,25.83,111.99,80.4,95667.91,19.18,41.5373,test
131,25.84,113.17,79.25,95812.87,19.29,50.2498,train
132,25.86,112.21,75.57,96310.27,19.41,44.6287,train
133,25.87,111.72,80.35,95241.99,18.93,58.7107,train
134,25.89,113.38,81.77,95069.03,19.3,46.7052,train
135,25.91,112.21,75.66,95934.47,19.22,51.1,test
136,25.91,113.13,78.85,96614.79,19.69,54.0802,train
137,25.92,113.7,88.88,90763.75,18.04,37.6542,train
138,25.93,111.73,80.26,94603.11,18.55,51.8289,train
139,25.93,113.87,91.07,90390.15,18.8,42.8302,train
140,25.94,111.95,80.25,94496.63,18.49,46.4843,test
141,25.94,112.62,78.28,97473.43,19.94,39.428,train
142,25.94,113.95,90.58,90042.07,19.04,36.6642,train
143,25.96,111.65,80.22,94283.67,18.37,50.9,train
144,25.96,111.87,80.22,94283.67,18.37,40.8014,train
145,25.97,112.81,78.11,97588.11,20.04,49.3823,test
146,25.97,113.05,77.6,97609.35,20.17,56.9948,train
147,25.97,113.22,79.33,96689.31,19.78,54.2,train
148,25.97,113.45,84.28,94170.11,18.85,54.8745,train
149,25.98,111.86,80.19,94070.71,18.24,40.2922,train
150,25.99,113.01,77.05,98013.03,20.36,45.8602,test
151,26,113.59,87.6,92155.99,18.2,32.5761,train
152,26.01,109.77,79.91,93974.63,18.18,39.6916,train
153,26.02,112.86,77.59,97976.59,20.27,39.4231,train
154,26.03,112.53,77.63,97255.27,19.77,54.1711,train
155,26.04,112.74,77.62,97839.39,20.13,36.531,test
156,26.04,112.92,77.23,98099.63,20.37,41.1602,train
157,26.04,113.39,82.1,95252.15,19.25,44.0303,train
158,26.05,112.8,77.86,97930.75,20.22,49.172,train
159,26.06,110.15,78.63,94559.03,18.48,33.6959,train
160,26.06,112.63,77.34,97592.67,19.95,47.9376,test
161,26.06,113.28,79.31,96745.71,19.86,57.0417,train
162,26.08,109.55,78.12,94792.79,18.6,36.8992,train
163,26.08,109.81,78.12,94792.79,18.6,42.7479,train
164,26.08,113.26,78.98,97024.19,19.99,53.7077,train
165,26.08,113.94,89.74,89227.39,18.04,36.1514,test
166,26.09,112.47,76.55,97240.15,19.74,43.2412,train
167,26.1,110.28,77.61,95026.55,18.72,35.1583,train
168,26.1,112.86,77.45,98100.11,20.35,40.4886,train
169,26.1,113.54,84.35,93626.99,18.7,49.2259,train
170,26.11,111.81,77.35,95143.43,18.79,35.6562,test
171,26.12,111.91,77.09,95260.31,18.85,34.1585,train
172,26.12,113.11,77.78,97750.71,20.3,53.5,train
173,26.12,113.72,88.79,90990.35,17.86,24.453,train
174,26.13,112.81,76.7,98116.67,20.33,45.2797,train
175,26.14,111.71,76.58,95494.07,18.97,57.992,test
176,26.14,112.38,75.06,97137.35,19.69,38.7202,train
177,26.15,112.51,76.08,97477.59,19.82,56.4501,train
178,26.15,113.03,76.91,98229.99,20.52,43.2621,train
179,26.15,114.13,86.22,91619.59,19.55,35.4352,train
180,26.16,109.78,76.07,95727.83,19.09,49.1,test
181,26.16,112.68,75.86,97949.31,20.14,42.2829,train
182,26.16,113.86,89.67,89762.87,17.62,39.7079,train
183,26.17,110.12,75.82,95844.71,19.15,27.984,train
184,26.17,113.34,79.16,96582.11,19.84,63.4863,train
185,26.17,113.82,89.55,90199.19,17.67,32.9959,test
186,26.17,114.18,85.24,92596.71,20.03,33.3218,train
187,26.19,112.27,73.27,96829.99,19.55,37.5078,train
188,26.2,109.52,75.05,96195.35,19.33,46.0299,train
189,26.21,112.42,74.54,97395.15,19.77,35.1552,train
190,26.21,113.2,77.75,97787.87,20.39,41.2347,test
191,26.21,113.44,79.86,95742.99,19.48,49.3693,train
192,26.22,111.36,74.54,96429.11,19.45,48.3755,train
193,26.23,111.62,74.28,96545.99,19.51,52,train
194,26.23,111.78,74.28,96545.99,19.51,47.9471,train
195,26.23,113.77,89.04,91056.95,17.78,32.8448,test
196,26.23,113.96,89.27,89296.79,17.59,42.5738,train
197,26.24,110.37,74.03,96662.87,19.57,34.7059,train
198,26.24,112.32,73.21,97222.15,19.7,55.8938,train
199,26.24,112.46,74.54,97560.95,19.82,49.8662,train
200,26.24,112.96,76.25,98490.03,20.63,49.9044,test
201,26.24,113.89,89.11,90011.03,17.67,36.6509,train
202,26.26,113.12,76.97,98217.27,20.58,50.7629,train
203,26.27,112.37,73.33,97518.95,19.82,51.2424,train
204,26.27,112.6,74.32,98079.39,20.15,40.6513,train
205,26.27,113.36,78.63,96760.83,19.97,39.3199,test
206,26.28,110.1,73.29,96991.91,19.74,34.8363,train
207,26.29,109.94,73.13,97062.63,19.77,38.582,train
208,26.29,110.78,73.13,97062.63,19.77,40.0554,train
209,26.29,112.1,72.79,97203.75,19.79,46.6734,train
210,26.29,112.92,75.63,98508.99,20.61,37.8646,test
211,26.29,113.46,79.41,95825.63,19.56,46.5956,train
212,26.3,110.42,72.97,97133.35,19.81,36.3158,train
213,26.3,113.67,84.61,92986.63,18.47,40.3248,train
214,26.31,112.27,71.94,97582.55,19.89,41.1611,train
215,26.31,112.74,73.61,98556.47,20.49,57.4019,test
216,26.31,113.22,77.03,98071.87,20.56,41.7902,train
217,26.32,109.46,72.64,97274.79,19.88,38.1542,train
218,26.33,109.34,72.48,97345.51,19.91,46.2591,train
219,26.33,113.3,77.48,97545.15,20.34,51.29,train
220,26.35,109.77,72.16,97486.95,19.98,38.0506,test
221,26.35,110.24,72.16,97486.95,19.98,38.7754,train
222,26.35,112.34,72.16,98057.55,20.11,47.2805,train
223,26.35,113.98,87.27,90337.43,17.74,40.8376,train
224,26.36,111.1,72,97557.67,20.02,53.8633,train
225,26.36,112.63,72.95,98781.27,20.54,41.7619,test
226,26.36,113.67,82.77,93630.91,18.73,39.5258,train
227,26.37,109.66,71.84,97628.39,20.05,37.9153,train
228,26.37,110.31,71.84,97628.39,20.05,48.8,train
229,26.37,111.54,71.84,97628.39,20.05,42.7488,train
230,26.37,111.87,71.84,97628.39,20.05,49.0268,test
