Lon,Lat,True_PWV,Predicted_PWV,Error
111.49,24.74,43.2375,43.39660573184098,-0.15910573184098098
111.93,24.8,44.4996,42.293551108286884,2.2060488917131167
111.54,24.81,45.2923,42.14808120421471,3.144218795785285
111.7,24.87,39.5659,39.35071084538805,0.21518915461194865
111.82,24.87,37.134,39.90295606746657,-2.7689560674665685
111.51,24.88,40.8873,43.174604392914276,-2.2873043929142725
112.02,24.92,44.4158,42.76478587642683,1.6510141235731695
111.53,24.93,42.8821,42.20139143842769,0.6807085615723096
111.81,24.95,35.25,37.60836407919749,-2.358364079197493
112.93,24.95,30.7909,44.85686443591684,-14.06596443591684
111.73,24.98,15.4993,40.85712074993102,-25.357820749931022
111.07,25.0,38.5322,46.04263703652113,-7.510437036521125
111.68,25.03,36.7021,37.87189338442666,-1.1697933844266615
111.53,25.04,45.4621,43.789109944945785,1.672990055054214
111.58,25.05,48.1572,42.6286602936061,5.5285397063939
111.13,25.06,52.3479,43.58276990418356,8.765130095816446
111.18,25.1,46.6178,45.52264688540993,1.095153114590076
112.81,25.1,49.3117,45.490773687735775,3.820926312264227
111.04,25.12,43.5122,45.03704022463222,-1.5248402246322215
111.47,25.12,34.9056,44.43292790722335,-9.527327907223352
111.37,25.13,43.2375,42.62054119579702,0.6169588042029801
112.74,25.14,51.8915,43.73119727873437,8.16030272126563
111.34,25.17,41.1775,43.936999242222115,-2.7594992422221125
111.66,25.17,37.8204,44.137997986522535,-6.317597986522536
112.63,25.17,27.0608,45.23184842802818,-18.17104842802818
111.57,25.18,52.8903,42.306132794829786,10.584167205170218
111.9,25.18,37.84,38.44470296249507,-0.6047029624950682
112.85,25.19,48.6902,44.688557409366204,4.001642590633793
111.18,25.2,39.9923,45.14855912040309,-5.156259120403092
111.9,25.23,28.8064,42.8535410408089,-14.0471410408089
112.95,25.24,40.6619,45.08916533325421,-4.427265333254205
112.26,25.25,46.2765,45.31793551538025,0.9585644846197496
112.55,25.27,51.8,39.43036518121266,12.36963481878734
111.31,25.28,50.6321,43.83189183804447,6.800208161955531
111.51,25.29,45.4101,44.8857443605888,0.5243556394111977
111.62,25.29,39.3987,44.37108009197822,-4.9723800919782235
111.81,25.29,43.8209,43.05205897145485,0.7688410285451539
112.46,25.33,4.9191,44.7971060784472,-39.8780060784472
112.31,25.34,56.7269,42.917375282417495,13.809524717582505
111.45,25.35,46.9608,44.668960501741196,2.2918394982588026
111.95,25.35,59.6171,43.66686893539077,15.950231064609234
113.52,25.38,54.4439,40.64597749286636,13.797922507133642
111.31,25.39,45.3784,45.30536767035345,0.07303232964655137
112.72,25.39,51.5912,43.501285473932626,8.089914526067375
111.57,25.4,43.5605,44.983526427951645,-1.4230264279516476
112.17,25.4,56.7816,45.429033291961254,11.352566708038744
113.61,25.4,40.7756,43.70872299212683,-2.933122992126833
