Lon,Lat,True_PWV,Predicted_PWV,Error
111.49,24.74,43.2375,44.50302548051431,-1.265525480514313
111.93,24.8,44.4996,43.02389104899491,1.475708951005089
111.54,24.81,45.2923,41.48884155239966,3.8034584476003346
111.7,24.87,39.5659,38.98970174344989,0.5761982565501071
111.82,24.87,37.134,38.230095960682846,-1.0960959606828453
111.51,24.88,40.8873,41.7445157464708,-0.8572157464707999
112.02,24.92,44.4158,40.71929142967156,3.69650857032844
111.53,24.93,42.8821,41.38594058389914,1.4961594161008591
111.81,24.95,35.25,37.08143949009989,-1.8314394900998892
112.93,24.95,30.7909,47.606616343786186,-16.815716343786185
111.73,24.98,15.4993,40.136169812635465,-24.636869812635467
111.07,25.0,38.5322,46.26291420794416,-7.73071420794416
111.68,25.03,36.7021,38.798142914759566,-2.0960429147595647
111.53,25.04,45.4621,40.351573902187084,5.110526097812915
111.58,25.05,48.1572,39.967925577118685,8.189274422881319
111.13,25.06,52.3479,43.12191458849753,9.22598541150247
111.18,25.1,46.6178,45.10471694329105,1.5130830567089504
112.81,25.1,49.3117,42.88929695150377,6.4224030484962285
111.04,25.12,43.5122,43.945640142589,-0.4334401425889993
111.47,25.12,34.9056,43.99725063001994,-9.091650630019942
111.37,25.13,43.2375,44.65914523243229,-1.4216452324322901
112.74,25.14,51.8915,41.9054734667302,9.9860265332698
111.34,25.17,41.1775,45.46407846888103,-4.286578468881025
111.66,25.17,37.8204,40.5565914621918,-2.7361914621917975
112.63,25.17,27.0608,45.611567809521425,-18.550767809521425
111.57,25.18,52.8903,41.878779078297406,11.011520921702598
111.9,25.18,37.84,41.19576679568847,-3.355766795688467
112.85,25.19,48.6902,45.157599854551606,3.5326001454483915
111.18,25.2,39.9923,46.31388561469235,-6.321585614692353
111.9,25.23,28.8064,44.11536904581694,-15.30896904581694
112.95,25.24,40.6619,47.659810011097036,-6.997910011097034
112.26,25.25,46.2765,43.5281736837662,2.7483263162338005
112.55,25.27,51.8,37.044378383233,14.755621616766994
111.31,25.28,50.6321,43.940153431475196,6.691946568524806
111.51,25.29,45.4101,45.14708957909108,0.2630104209089197
111.62,25.29,39.3987,43.918228685042415,-4.519528685042417
111.81,25.29,43.8209,42.89916513743618,0.9217348625638238
112.46,25.33,4.9191,43.35847945392199,-38.43937945392199
112.31,25.34,56.7269,42.76662076273749,13.960279237262512
111.45,25.35,46.9608,45.029956033379676,1.9308439666203228
111.95,25.35,59.6171,44.42860448857613,15.188495511423874
113.52,25.38,54.4439,37.95267204550956,16.49122795449044
111.31,25.39,45.3784,44.04707451569293,1.3313254843070723
112.72,25.39,51.5912,41.17982623682677,10.41137376317323
111.57,25.4,43.5605,45.5043367725535,-1.943836772553503
112.17,25.4,56.7816,46.8130713626117,9.968528637388296
113.61,25.4,40.7756,41.79537815442636,-1.019778154426362
113.78,25.4,34.3983,42.18098352488678,-7.782683524886778
112.94,25.41,55.4,42.190826112702155,13.209173887297844
113.49,25.44,35.604,42.37932381190015,-6.775323811900151
112.43,25.45,31.5802,40.05133331506739,-8.471133315067387
113.69,25.46,40.3289,40.95594038700762,-0.6270403870076251
111.8,25.47,42.0178,47.72741377730048,-5.709613777300476
112.34,25.47,44.8982,43.03075991849067,1.8674400815093293
112.61,25.47,33.145,41.06836375571766,-7.923363755717659
113.12,25.47,43.2179,42.44143483952948,0.7764651604705222
112.01,25.48,51.1334,50.01032713573147,1.1230728642685293
111.39,25.49,47.1149,42.954885089888734,4.160014910111265
113.65,25.49,36.6662,41.977299049550915,-5.311099049550911
111.65,25.51,45.2487,46.22560313763919,-0.9769031376391908
112.38,25.51,41.3816,42.68071900559109,-1.2991190055910877
112.65,25.51,44.2697,41.68153740272916,2.5881625972708378
111.7,25.52,49.6649,46.26561622760291,3.399283772397091
112.46,25.52,41.679,40.79804158771677,0.8809584122832348
112.76,25.52,36.5361,43.55455832498057,-7.018458324980571
113.91,25.52,35.4451,36.84513422598946,-1.4000342259894651
111.6,25.53,52.6,45.58559479272329,7.01440520727671
112.8,25.53,36.8845,43.964366626893096,-7.079866626893093
113.37,25.53,29.4227,43.74160015318131,-14.31890015318131
111.7,25.55,50.4257,46.466216099699196,3.9594839003008033
112.89,25.55,23.6373,45.63877548125868,-22.001475481258684
113.69,25.56,53.2,37.61138836566111,15.588611634338896
112.72,25.57,45.5023,42.88357915338049,2.61872084661951
112.37,25.58,44.5623,43.79007093013683,0.7722290698631724
112.4,25.58,44.0732,43.17457539480661,0.8986246051933904
111.96,25.59,52.7,47.70360339985465,4.996396600145353
112.23,25.59,45.7582,46.91108762720597,-1.1528876272059705
113.63,25.59,39.4887,39.51284500026158,-0.0241450002615764
112.71,25.6,46.1321,42.60831927883346,3.5237807211665384
113.04,25.61,45.9601,44.84704524221023,1.1130547577897687
113.95,25.61,34.3865,38.28723900139165,-3.900739001391649
111.61,25.62,41.9314,47.16562594348885,-5.234225943488852
112.28,25.62,47.8523,45.06922251949768,2.783077480502321
112.93,25.62,46.9614,44.11469497985584,2.8467050201441566
113.75,25.62,37.62,38.78188766220609,-1.161887662206091
111.37,25.64,39.7387,43.07506998165766,-3.3363699816576613
112.34,25.64,41.4326,45.3853264924112,-3.9527264924112018
111.92,25.65,42.1268,46.34322537236489,-4.216425372364888
112.65,25.65,54.3259,42.717318400825874,11.608581599174123
112.73,25.65,42.4651,42.89551173588728,-0.430411735887283
112.13,25.66,59.924,45.213749822886854,14.710250177113146
112.84,25.66,48.1639,44.70415681559899,3.459743184401006
111.81,25.67,49.9654,46.64959878968532,3.3158012103146817
