Lon,Lat,True_PWV,Predicted_PWV,Error
111.49,24.74,43.2375,45.2923,-2.0548
111.93,24.8,44.4996,37.134,7.365600000000001
111.54,24.81,45.2923,41.75120895522383,3.5410910447761665
111.7,24.87,39.5659,35.80581546961311,3.760084530386891
111.82,24.87,37.134,39.99156896551716,-2.85756896551716
111.51,24.88,40.8873,43.190849753694444,-2.3035497536944405
112.02,24.92,44.4158,44.88526049766767,-0.4694604976676757
111.53,24.93,42.8821,42.9964358974358,-0.11433589743580086
111.81,24.95,35.25,31.651083106267873,3.5989168937321274
112.93,24.95,30.7909,49.3117,-18.5208
111.73,24.98,15.4993,36.545579166666684,-21.046279166666686
111.07,25.0,38.5322,52.3479,-13.8157
111.68,25.03,36.7021,27.58539322033791,9.116706779662092
111.53,25.04,45.4621,42.3398790419164,3.1222209580836022
111.58,25.05,48.1572,42.53732115384638,5.619878846153625
111.13,25.06,52.3479,42.58113636363581,9.766763636364196
111.18,25.1,46.6178,48.51178117154787,-1.893981171547864
112.81,25.1,49.3117,45.80787664473666,3.503823355263343
111.04,25.12,43.5122,38.62343763440869,4.888762365591312
111.47,25.12,34.9056,46.58376615384617,-11.67816615384617
111.37,25.13,43.2375,40.73262500000001,2.504874999999984
112.74,25.14,51.8915,39.98477578947337,11.906724210526633
111.34,25.17,41.1775,44.6307255144034,-3.4532255144033996
111.66,25.17,37.8204,46.412640540540814,-8.592240540540814
112.63,25.17,27.0608,50.722838554216864,-23.662038554216863
111.57,25.18,52.8903,38.528863366336566,14.361436633663438
111.9,25.18,37.84,30.577195121951284,7.262804878048719
112.85,25.19,48.6902,46.0471012987015,2.6430987012984986
111.18,25.2,39.9923,47.187130935251844,-7.194830935251844
111.9,25.23,28.8064,43.27025000000012,-14.463850000000118
112.95,25.24,40.6619,43.95666502293546,-3.294765022935458
112.26,25.25,46.2765,53.40354050081628,-7.127040500816278
112.55,25.27,51.8,29.83697985611553,21.963020143884467
111.31,25.28,50.6321,43.1088081632653,7.5232918367347
111.51,25.29,45.4101,47.71879078340989,-2.3086907834098866
111.62,25.29,39.3987,40.92139514348798,-1.5226951434879794
111.81,25.29,43.8209,33.96734509803923,9.85355490196077
112.46,25.33,4.9191,37.19701906474947,-32.27791906474947
112.31,25.34,56.7269,41.5835659574471,15.143334042552901
111.45,25.35,46.9608,45.769980000000025,1.1908199999999738
111.95,25.35,59.6171,39.411380155642,20.205719844358
113.52,25.38,54.4439,38.324562561576286,16.119337438423713
111.31,25.39,45.3784,46.40235890410955,-1.0239589041095485
112.72,25.39,51.5912,40.571664999999896,11.019535000000104
111.57,25.4,43.5605,46.5039775252526,-2.9434775252526038
112.17,25.4,56.7816,53.66868705882328,3.1129129411767167
113.61,25.4,40.7756,47.10427461809585,-6.328674618095853
113.78,25.4,34.3983,40.3289,-5.930599999999998
112.94,25.41,55.4,32.947314736841776,22.452685263158223
113.49,25.44,35.604,46.317402499999616,-10.713402499999617
112.43,25.45,31.5802,28.749878289473315,2.830321710526686
113.69,25.46,40.3289,36.035278431372724,4.293621568627273
111.8,25.47,42.0178,52.499994847775284,-10.482194847775283
112.34,25.47,44.8982,45.773785714285665,-0.8755857142856627
112.61,25.47,33.145,36.394655072462704,-3.2496550724627014
