id,latitude,longitude,rh,sp,t2m,id
134,24.1,112.55,93.61,95389.55,21.69,134
135,24.1,112.6,93.47,95530.55,21.9,135
136,24.1,112.65,93.32,95671.55,22.11,136
137,24.1,112.7,93.72,96084.55,22.51,137
138,24.1,112.75,94.11,96497.55,22.9,138
139,24.1,112.8,94.8,96742.55,23.21,139
140,24.1,112.85,95.48,96987.55,23.51,140
141,24.1,112.9,95.85,97261.75,23.81,141
142,24.1,112.95,96.21,97535.95,24.1,142
143,24.1,113,96.58,97810.15,24.4,143
144,24.1,113.05,96.81,97923.75,24.56,144
145,24.1,113.1,97.04,98037.35,24.72,145
146,24.1,113.15,97.27,98150.95,24.88,146
147,24.1,113.2,97.45,98238.15,25.01,147
148,24.1,113.25,97.64,98325.35,25.14,148
149,24.1,113.3,97.52,98262.55,25.12,149
150,24.1,113.35,97.4,98199.75,25.1,150
151,24.1,113.4,97.28,98145.35,25.11,151
152,24.1,113.45,97.17,98090.95,25.12,152
153,24.1,113.5,97.05,98036.55,25.13,153
154,24.1,113.55,97.33,97900.55,25.09,154
155,24.1,113.6,97.6,97764.55,25.05,155
156,24.1,113.65,97.62,97583.35,24.98,156
157,24.1,113.7,97.63,97402.15,24.9,157
158,24.1,113.75,97.64,97220.95,24.83,158
159,24.1,113.8,97.84,96938.95,24.84,159
160,24.1,113.85,98.03,96656.95,24.84,160
161,24.1,113.9,98.22,96374.95,24.85,161
162,24.1,113.95,98.54,96177.55,24.95,162
163,24.1,114,98.85,95980.15,25.05,163
164,24.1,114.05,98.83,95847.55,25,164
165,24.1,114.1,98.81,95714.95,24.95,165
166,24.1,114.15,98.93,95744.55,25.08,166
167,24.1,114.2,99.04,95774.15,25.21,167
168,24.1,114.25,99.16,95803.75,25.34,168
169,24.1,114.3,99.24,95972.75,25.39,169
170,24.1,114.35,99.32,96141.75,25.44,170
171,24.1,114.4,99.4,96310.75,25.48,171
172,24.1,114.45,99.47,96257.35,25.36,172
173,24.1,114.5,99.55,96203.95,25.24,173
174,24.1,114.55,99.53,96373.95,25.28,174
175,24.1,114.6,99.51,96543.95,25.32,175
176,24.1,114.65,99.58,96675.35,25.33,176
177,24.1,114.7,99.64,96806.75,25.35,177
178,24.1,114.75,99.71,96938.15,25.36,178
179,24.1,114.8,99.56,97179.75,25.55,179
180,24.1,114.85,99.4,97421.35,25.73,180
181,24.1,114.9,99.39,97418.35,25.75,181
182,24.1,114.95,99.39,97415.35,25.76,182
183,24.1,115,99.38,97412.35,25.78,183
184,24.15,112,96.91,96059.35,22.27,184
185,24.15,112.05,96.81,95870.35,22.08,185
186,24.15,112.1,96.72,95681.35,21.89,186
187,24.15,112.15,96.03,95513.35,21.68,187
188,24.15,112.2,95.35,95345.35,21.48,188
189,24.15,112.25,94.66,95177.35,21.28,189
190,24.15,112.3,94.33,95344.95,21.35,190
191,24.15,112.35,94,95512.55,21.43,191
192,24.15,112.4,93.66,95680.15,21.51,192
193,24.15,112.45,93.29,95369.55,21.36,193
194,24.15,112.5,92.92,95058.95,21.2,194
195,24.15,112.55,92.77,95199.95,21.41,195
196,24.15,112.6,92.63,95340.95,21.62,196
197,24.15,112.65,93.02,95753.95,22.01,197
198,24.15,112.7,93.42,96166.95,22.41,198
199,24.15,112.75,93.81,96579.95,22.81,199
200,24.15,112.8,94.5,96824.95,23.11,200
201,24.15,112.85,95.19,97069.95,23.42,201
202,24.15,112.9,95.87,97314.95,23.73,202
203,24.15,112.95,96.24,97589.15,24.02,203
204,24.15,113,96.6,97863.35,24.31,204
205,24.15,113.05,96.83,97976.95,24.47,205
206,24.15,113.1,97.06,98090.55,24.64,206
207,24.15,113.15,97.25,98177.75,24.76,207
208,24.15,113.2,97.43,98264.95,24.89,208
209,24.15,113.25,97.62,98352.15,25.02,209
210,24.15,113.3,97.5,98289.35,25,210
211,24.15,113.35,97.38,98226.55,24.98,211
212,24.15,113.4,97.26,98163.75,24.97,212
213,24.15,113.45,97.14,98109.35,24.98,213
214,24.15,113.5,97.03,98054.95,24.99,214
215,24.15,113.55,97.3,97918.95,24.95,215
216,24.15,113.6,97.57,97782.95,24.9,216
217,24.15,113.65,97.85,97646.95,24.86,217
218,24.15,113.7,97.86,97465.75,24.79,218
219,24.15,113.75,97.88,97284.55,24.72,219
220,24.15,113.8,98.07,97002.55,24.72,220
221,24.15,113.85,98.26,96720.55,24.73,221
222,24.15,113.9,98.58,96523.15,24.83,222
223,24.15,113.95,98.89,96325.75,24.93,223
224,24.15,114,99.21,96128.35,25.03,224
225,24.15,114.05,99.19,95995.75,24.98,225
226,24.15,114.1,99.17,95863.15,24.93,226
227,24.15,114.15,99.15,95730.55,24.88,227
228,24.15,114.2,99.26,95760.15,25.01,228
229,24.15,114.25,99.38,95789.75,25.14,229
230,24.15,114.3,99.46,95958.75,25.19,230
231,24.15,114.35,99.54,96127.75,25.24,231
232,24.15,114.4,99.61,96074.35,25.12,232
233,24.15,114.45,99.69,96020.95,24.99,233
234,24.15,114.5,99.76,95967.55,24.87,234
235,24.15,114.55,99.74,96137.55,24.91,235
236,24.15,114.6,99.72,96307.55,24.95,236
237,24.15,114.65,99.7,96477.55,24.99,237
238,24.15,114.7,99.77,96608.95,25,238
239,24.15,114.75,99.84,96740.35,25.02,239
240,24.15,114.8,99.68,96981.95,25.2,240
241,24.15,114.85,99.53,97223.55,25.39,241
242,24.15,114.9,99.38,97465.15,25.57,242
243,24.15,114.95,99.37,97462.15,25.58,243
244,24.15,115,99.36,97459.15,25.6,244
245,24.2,112,96.62,95370.55,21.77,245
246,24.2,112.05,96.53,95181.55,21.57,246
247,24.2,112.1,95.84,95013.55,21.37,247
248,24.2,112.15,95.15,94845.55,21.17,248
249,24.2,112.2,94.47,94677.55,20.96,249
250,24.2,112.25,93.78,94509.55,20.76,250
251,24.2,112.3,93.45,94677.15,20.84,251
252,24.2,112.35,93.12,94844.75,20.92,252
253,24.2,112.4,92.78,95012.35,20.99,253
254,24.2,112.45,92.45,95179.95,21.07,254
255,24.2,112.5,92.08,94869.35,20.92,255
256,24.2,112.55,91.93,95010.35,21.13,256
257,24.2,112.6,92.33,95423.35,21.52,257
258,24.2,112.65,92.72,95836.35,21.92,258
259,24.2,112.7,93.12,96249.35,22.32,259
260,24.2,112.75,93.51,96662.35,22.71,260
261,24.2,112.8,94.2,96907.35,23.02,261
262,24.2,112.85,94.89,97152.35,23.32,262
263,24.2,112.9,95.57,97397.35,23.63,263
264,24.2,112.95,96.26,97642.35,23.94,264
265,24.2,113,96.62,97916.55,24.23,265
266,24.2,113.05,96.85,98030.15,24.39,266
267,24.2,113.1,97.04,98117.35,24.52,267
268,24.2,113.15,97.22,98204.55,24.65,268
269,24.2,113.2,97.41,98291.75,24.78,269
270,24.2,113.25,97.6,98378.95,24.9,270
271,24.2,113.3,97.48,98316.15,24.89,271
272,24.2,113.35,97.36,98253.35,24.87,272
273,24.2,113.4,97.24,98190.55,24.85,273
274,24.2,113.45,97.12,98127.75,24.83,274
275,24.2,113.5,97,98073.35,24.84,275
276,24.2,113.55,97.27,97937.35,24.8,276
277,24.2,113.6,97.55,97801.35,24.76,277
