id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset,PWV,formatted_time
38,P8663,2025/06/03 00:00,25.33,112.46,451.7,郴州市,大塘,临武县,0.0,0,956.4,18.8,4.9191,train,4.919100001,2025-06-03 00:00:00
39,P8095,2025/06/03 00:00,25.34,112.31,342.5,永州市,毛俊,蓝山县,21.82,100,969.2,18.9,56.7269,train,56.7269,2025-06-03 00:00:00
40,P7992,2025/06/03 00:00,25.35,111.45,213.0,永州市,上江圩,江永县,21.98,97,984.6,19.5,46.9608,test,46.9608,2025-06-03 00:00:00
41,P7793,2025/06/03 00:00,25.35,111.95,277.0,永州市,湿地公园,宁远县,22.37,100,972.0,19.3,59.6171,train,59.6171,2025-06-03 00:00:00
42,P8755,2025/06/03 00:00,25.38,113.52,923.0,郴州市,小垣,汝城县,18.08,97,905.6,16.4,54.4439,train,54.4439,2025-06-03 00:00:00
43,P8107,2025/06/03 00:00,25.39,111.31,287.7,永州市,盘王广场,江永县,19.98,91,974.5,19.0,45.3784,train,45.3784,2025-06-03 00:00:00
44,P8656,2025/06/03 00:00,25.39,112.72,269.9,郴州市,深渡,临武县,21.9,92,977.3,20.3,51.5912,train,51.5912,2025-06-03 00:00:00
45,P7893,2025/06/03 00:00,25.4,111.57,180.0,永州市,祥霖铺,道县,23.23,100,987.1,19.9,43.5605,test,43.5605,2025-06-03 00:00:00
46,57975,2025/06/03 00:00,25.4,112.17,345.9,永州市,蓝山,蓝山县,22.1,100,969.0,19.1,56.7816,train,56.7816,2025-06-03 00:00:00
47,P8759,2025/06/03 00:00,25.4,113.61,676.0,郴州市,龙虎洞水库,汝城县,20.05,96,932.2,18.2,40.7756,train,40.7756,2025-06-03 00:00:00
48,P8767,2025/06/03 00:00,25.4,113.78,254.5,郴州市,九龙江公园,汝城县,23.81,100,979.5,20.3,34.3983,train,34.3983,2025-06-03 00:00:00
49,57976,2025/06/03 00:00,25.41,112.94,225.2,郴州市,宜章,宜章县,21.25,86,982.6,20.9,55.4,train,55.4,2025-06-03 00:00:00
50,P8754,2025/06/03 00:00,25.44,113.49,615.0,郴州市,延寿,汝城县,19.83,98,939.6,17.7,35.604,test,35.604,2025-06-03 00:00:00
51,P8642,2025/06/03 00:00,25.45,112.43,468.5,郴州市,林里,临武县,20.81,99,956.2,18.3,31.5802,train,31.5802,2025-06-03 00:00:00
52,P8763,2025/06/03 00:00,25.46,113.69,654.0,郴州市,大坪,汝城县,19.83,98,936.2,17.7,40.3289,train,40.3289,2025-06-03 00:00:00
53,P8090,2025/06/03 00:00,25.47,111.8,212.0,永州市,梅岗,宁远县,22.42,93,983.1,20.5,42.0178,train,42.0178,2025-06-03 00:00:00
54,P7951,2025/06/03 00:00,25.47,112.34,262.5,永州市,太平圩,蓝山县,21.56,94,978.8,19.7,44.8982,train,44.8982,2025-06-03 00:00:00
