id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,id,predict,rh,sp,t2m,target
30,P7901,2025/06/03 00:00,25.23,111.9,1123.1,永州市,紫金锂业,道县,16.5,100,883.9,14.5,28.8064,test,2025-06-03 00:00:00,373.0,44.275505,82.21,92635.35,17.85,373.0
31,P8701,2025/06/03 00:00,25.24,112.95,243.2,郴州市,栗源,宜章县,23.0,96,980.2,20.4,40.6619,train,2025-06-03 00:00:00,383.0,43.721737,79.03,94807.15,19.14,383.0
32,P7946,2025/06/03 00:00,25.25,112.26,615.5,永州市,浆洞,蓝山县,18.55,94,939.3,17.3,46.2765,train,2025-06-03 00:00:00,376.0,44.200474,79.09,93915.55,18.49,376.0
33,57978,2025/06/03 00:00,25.27,112.55,295.7,郴州市,临武,临武县,21.0,91,974.8,19.8,51.8,train,2025-06-03 00:00:00,410.0,43.462704,77.98,95037.15,18.96,410.0
34,57969,2025/06/03 00:00,25.28,111.31,259.4,永州市,江永,江永县,21.66,98,977.4,19.1,50.6321,train,2025-06-03 00:00:00,404.0,45.46908,81.59,93331.55,18.03,404.0
35,P8046,2025/06/03 00:00,25.29,111.51,215.0,永州市,沱江下蒋,江华瑶族自治县,21.52,95,981.5,19.5,45.4101,test,2025-06-03 00:00:00,404.0,45.46908,81.59,93331.55,18.03,404.0
36,P8102,2025/06/03 00:00,25.29,111.62,219.9,永州市,界牌,江华瑶族自治县,21.21,88,983.1,20.5,39.3987,train,2025-06-03 00:00:00,404.0,45.46908,81.59,93331.55,18.03,404.0
37,P7898,2025/06/03 00:00,25.29,111.81,621.2,永州市,洪塘营,道县,19.84,95,937.7,18.2,43.8209,train,2025-06-03 00:00:00,404.0,45.46908,81.59,93331.55,18.03,404.0
38,P8663,2025/06/03 00:00,25.33,112.46,451.7,郴州市,大塘,临武县,0.0,0,956.4,18.8,4.9191,train,2025-06-03 00:00:00,409.0,43.959248,78.7,94880.75,18.94,409.0
39,P8095,2025/06/03 00:00,25.34,112.31,342.5,永州市,毛俊,蓝山县,21.82,100,969.2,18.9,56.7269,train,2025-06-03 00:00:00,407.0,45.199196,78.76,94314.95,18.52,407.0
40,P7992,2025/06/03 00:00,25.35,111.45,213.0,永州市,上江圩,江永县,21.98,97,984.6,19.5,46.9608,test,2025-06-03 00:00:00,435.0,45.020325,80.47,94761.15,18.67,435.0
41,P7793,2025/06/03 00:00,25.35,111.95,277.0,永州市,湿地公园,宁远县,22.37,100,972,19.3,59.6171,train,2025-06-03 00:00:00,435.0,45.020325,80.47,94761.15,18.67,435.0
42,P8755,2025/06/03 00:00,25.38,113.52,923.0,郴州市,小垣,汝城县,18.08,97,905.6,16.4,54.4439,train,2025-06-03 00:00:00,450.0,41.834225,87.88,93672.75,19.49,450.0
43,P8107,2025/06/03 00:00,25.39,111.31,287.7,永州市,盘王广场,江永县,19.98,91,974.5,19.0,45.3784,train,2025-06-03 00:00:00,435.0,45.020325,80.47,94761.15,18.67,435.0
44,P8656,2025/06/03 00:00,25.39,112.72,269.9,郴州市,深渡,临武县,21.9,92,977.3,20.3,51.5912,train,2025-06-03 00:00:00,442.0,44.55429,78.48,95388.35,19.05,442.0
45,P7893,2025/06/03 00:00,25.4,111.57,180.0,永州市,祥霖铺,道县,23.23,100,987.1,19.9,43.5605,test,2025-06-03 00:00:00,435.0,45.020325,80.47,94761.15,18.67,435.0
46,57975,2025/06/03 00:00,25.4,112.17,345.9,永州市,蓝山,蓝山县,22.1,100,969,19.1,56.7816,train,2025-06-03 00:00:00,437.0,45.75216,78.32,94865.15,18.67,437.0
47,P8759,2025/06/03 00:00,25.4,113.61,676.0,郴州市,龙虎洞水库,汝城县,20.05,96,932.2,18.2,40.7756,train,2025-06-03 00:00:00,451.0,41.185566,89.39,93774.75,20.07,451.0
48,P8767,2025/06/03 00:00,25.4,113.78,254.5,郴州市,九龙江公园,汝城县,23.81,100,979.5,20.3,34.3983,train,2025-06-03 00:00:00,453.0,41.481743,93.55,94032.75,21.3,453.0
49,57976,2025/06/03 00:00,25.41,112.94,225.2,郴州市,宜章,宜章县,21.25,86,982.6,20.9,55.4,train,2025-06-03 00:00:00,444.0,44.27062,79.27,95294.75,19.13,444.0
50,P8754,2025/06/03 00:00,25.44,113.49,615.0,郴州市,延寿,汝城县,19.83,98,939.6,17.7,35.604,test,2025-06-03 00:00:00,450.0,41.834225,87.88,93672.75,19.49,450.0
51,P8642,2025/06/03 00:00,25.45,112.43,468.5,郴州市,林里,临武县,20.81,99,956.2,18.3,31.5802,train,2025-06-03 00:00:00,439.0,44.314255,77.94,95404.35,19.04,439.0
52,P8763,2025/06/03 00:00,25.46,113.69,654.0,郴州市,大坪,汝城县,19.83,98,936.2,17.7,40.3289,train,2025-06-03 00:00:00,483.0,41.818085,88.58,92877.95,20.04,483.0
53,P8090,2025/06/03 00:00,25.47,111.8,212.0,永州市,梅岗,宁远县,22.42,93,983.1,20.5,42.0178,train,2025-06-03 00:00:00,466.0,45.72357,79.35,96190.75,19.31,466.0
54,P7951,2025/06/03 00:00,25.47,112.34,262.5,永州市,太平圩,蓝山县,21.56,94,978.8,19.7,44.8982,train,2025-06-03 00:00:00,469.0,44.961193,77.17,95927.95,19.14,469.0
