time_utc,time_bj,latitude,longitude,rh_percent
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,113.5,96.646286
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,113.75,98.50566
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.0,97.865036
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.25,96.11894
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.5,96.365036
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.75,97.14238
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,115.0,98.11113
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.0,88.771286
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.25,89.58769
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.5,89.98222
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.75,90.19707
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.0,91.10332
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.25,92.26738
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.5,94.490036
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.75,96.94707
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.0,96.48613
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.25,96.38847
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.5,97.24394
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.75,96.54082
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,115.0,96.65019
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.0,86.23222
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.25,86.44707
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.5,87.00566
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.75,86.908005
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.0,87.251755
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.25,89.04863
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.5,91.63066
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.75,93.54472
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.0,94.38457
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.25,96.283005
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.5,97.0291
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.75,95.97441
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,115.0,96.158005
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.0,83.99785
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.25,84.3416
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.5,84.63457
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.75,84.49785
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.0,85.0291
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.25,86.57597
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.5,88.46269
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.75,90.833786
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.0,92.939255
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.25,94.04863
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.5,94.345505
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.75,96.01347
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,115.0,97.93535
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.0,81.208786
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.25,82.052536
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.5,82.314255
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.75,82.43535
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.0,83.24394
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.25,84.47832
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.5,86.70097
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.75,90.76347
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.0,93.74394
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.25,94.01347
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.5,94.98613
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.75,98.41972
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,115.0,99.73222
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.0,79.26738
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.25,79.31035
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.5,79.6541
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.75,79.470505
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.0,79.82207
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.25,82.19707
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.5,86.533005
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.75,91.458786
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.0,94.66191
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.25,96.05644
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.5,97.845505
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.75,100.06816
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,115.0,99.94316
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.0,78.458786
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.25,76.427536
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.5,76.47832
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.75,76.41972
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.0,76.95488
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.25,81.07207
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.5,87.78691
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.75,93.44707
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.0,96.56035
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.25,97.958786
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.5,98.52519
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.75,99.20097
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,115.0,99.376755
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.0,75.90019
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.25,73.57988
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.5,73.86113
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.75,74.88847
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.0,77.06816
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.25,82.083786
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.5,89.083786
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.75,94.95488
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.0,97.07597
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.25,96.06816
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.5,95.21269
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.75,97.16191
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,115.0,99.07597
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.0,74.59941
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.25,74.14238
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.5,75.61894
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.75,76.76347
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.0,79.814255
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.25,85.01738
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.5,90.13847
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.75,93.82207
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.0,94.31035
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.25,92.552536
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.5,93.033005
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.75,96.9041
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,115.0,99.44707
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.0,78.00957
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.25,78.45097
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.5,80.7166
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,112.75,81.6541
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.0,83.96269
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.25,88.021286
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.5,90.61894
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,113.75,92.24785
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.0,93.10722
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.25,93.32207
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.5,95.69316
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,114.75,98.86894
2025-06-02 00:00:00,2025-06-02 08:00:00,27.5,115.0,99.583786
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.0,84.66191
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.25,84.00566
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.5,85.86894
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,112.75,87.251755
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.0,88.04082
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.25,89.53691
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.5,90.68144
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,113.75,93.10332
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.0,95.646286
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.25,96.25566
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.5,97.96269
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,114.75,99.90019
2025-06-02 00:00:00,2025-06-02 08:00:00,27.25,115.0,99.74394
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.0,90.20488
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.25,90.11113
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.5,91.095505
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,112.75,91.126755
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.0,90.751755
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.25,91.76347
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.5,93.521286
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,113.75,96.57597
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.0,98.49785
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.25,98.22832
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.5,98.99394
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,114.75,99.96269
2025-06-02 00:00:00,2025-06-02 08:00:00,27.0,115.0,99.97832
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.0,94.22832
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.25,93.865036
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.5,92.251755
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,112.75,91.04863
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.0,93.19707
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.25,96.04082
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.5,97.583786
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,113.75,99.16191
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.0,99.0916
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.25,99.15019
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.5,100.36894
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,114.75,99.9666
2025-06-02 00:00:00,2025-06-02 08:00:00,26.75,115.0,99.845505
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.0,92.91191
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.25,90.91582
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.5,89.29863
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,112.75,90.66191
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.0,96.01347
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.25,98.345505
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.5,98.04082
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,113.75,99.49785
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.0,99.29863
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.25,99.240036
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.5,100.38457
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,114.75,99.88457
2025-06-02 00:00:00,2025-06-02 08:00:00,26.5,115.0,100.29863
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.0,91.20097
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.25,91.220505
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.5,93.47441
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,112.75,94.6541
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.0,96.376755
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.25,97.34941
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.5,97.90019
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,113.75,99.95488
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.0,99.82597
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.25,99.2166
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.5,100.01347
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,114.75,99.74785
2025-06-02 00:00:00,2025-06-02 08:00:00,26.25,115.0,99.03691
