id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,rh,sp,t2m
1,P8103,2025/06/03 00:00,24.74,111.49,336.0,永州市,河路口,江华瑶族自治县,22.1,100,969.5,19.1,43.2375,train,2025-06-03 00:00:00,85.43,94215.39,19.91
2,P8062,2025/06/03 00:00,24.8,111.93,437.5,永州市,大锡,江华瑶族自治县,19.94,88,958,19.5,44.4996,train,2025-06-03 00:00:00,84.61,93919.35,19.61
3,P8058,2025/06/03 00:00,24.81,111.54,368.7,永州市,涛圩,江华瑶族自治县,20.35,95,964.8,18.6,45.2923,train,2025-06-03 00:00:00,84.5,93858.87,19.55
4,P8099,2025/06/03 00:00,24.87,111.7,377.8,永州市,大圩,江华瑶族自治县,22.8,100,964.2,19.6,39.5659,train,2025-06-03 00:00:00,83.86,93495.99,19.19
5,P8061,2025/06/03 00:00,24.87,111.82,545.4,永州市,蔚竹口,江华瑶族自治县,21.07,99,945.1,18.5,37.134,test,2025-06-03 00:00:00,83.86,93495.99,19.19
6,P8065,2025/06/03 00:00,24.88,111.51,321.9,永州市,大石桥,江华瑶族自治县,21.3,94,974.8,19.5,40.8873,train,2025-06-03 00:00:00,83.75,93435.51,19.13
7,P8057,2025/06/03 00:00,24.92,112.02,321.9,永州市,码市,江华瑶族自治县,21.16,90,970.4,20.1,44.4158,train,2025-06-03 00:00:00,82.95,93273.11,18.91
8,P8054,2025/06/03 00:00,24.93,111.53,276.0,永州市,白芒营,江华瑶族自治县,22.94,100, ,19.7,42.8821,train,2025-06-03 00:00:00,83.21,93133.11,18.84
9,P8049,2025/06/03 00:00,24.95,111.81,318.2,永州市,水口贝江,江华瑶族自治县,22.0,93,970.3,20.2,35.25,train,2025-06-03 00:00:00,82.99,93012.15,18.72
10,P8697,2025/06/03 00:00,24.95,112.93,1253.0,郴州市,林子坪水库,宜章县,17.09,99,870.8,15.2,30.7909,test,2025-06-03 00:00:00,81.31,93378.43,18.94
11,P8055,2025/06/03 00:00,24.98,111.73,315.4,永州市,小圩清塘,江华瑶族自治县,9.76,41,971.3,20.3,15.4993,train,2025-06-03 00:00:00,82.66,92830.71,18.54
12,P8005,2025/06/03 00:00,25.0,111.07,327.2,永州市,源口,江永县,23.08,100,970.2,19.8,38.5322,train,2025-06-03 00:00:00,82.45,92709.75,18.42
13,P8052,2025/06/03 00:00,25.03,111.68,340.9,永州市,花江洞,江华瑶族自治县,22.06,95,968.3,19.9,36.7021,train,2025-06-03 00:00:00,82.41,92698.59,18.34
14,P8051,2025/06/03 00:00,25.04,111.53,245.8,永州市,大路铺,江华瑶族自治县,20.97,92,980.1,19.6,45.4621,train,2025-06-03 00:00:00,82.4,92694.87,18.31
15,P8098,2025/06/03 00:00,25.05,111.58,278.0,永州市,桥市,江华瑶族自治县,20.46,92,974.1,19.2,48.1572,test,2025-06-03 00:00:00,82.39,92691.15,18.28
16,P8006,2025/06/03 00:00,25.06,111.13,251.7,永州市,大地坪,江永县,22.53,97,980.2,19.9,52.3479,train,2025-06-03 00:00:00,82.38,92687.43,18.25
17,P8003,2025/06/03 00:00,25.1,111.18,287.2,永州市,勾兰瑶寨,江永县,21.03,90,977,20.0,46.6178,train,2025-06-03 00:00:00,82.33,92672.55,18.14
18,P8696,2025/06/03 00:00,25.1,112.81,277.0,郴州市,天塘,宜章县,22.29,99,977.5,19.4,49.3117,train,2025-06-03 00:00:00,78.77,94202.23,18.81
19,P8015,2025/06/03 00:00,25.12,111.04,233.0,永州市,云雾山,江永县,21.85,89,981.6,20.8,43.5122,train,2025-06-03 00:00:00,82.3,92665.11,18.08
20,P8004,2025/06/03 00:00,25.12,111.47,443.1,永州市,松柏,江永县,19.45,88,957.6,19.1,34.9056,test,2025-06-03 00:00:00,82.3,92665.11,18.08
21,P8105,2025/06/03 00:00,25.13,111.37,388.1,永州市,李家塘,江永县,22.1,100,963.5,19.1,43.2375,train,2025-06-03 00:00:00,82.29,92661.39,18.05
