id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
201,P6967,2025-06-03 20:00:00,26.27,112.37,128.0,衡阳市,板桥,常宁市,21.3,97,994.3,19.0,45.1379,train
202,P6979,2025-06-03 20:00:00,26.27,112.6,140.0,衡阳市,西岭,常宁市,20.94,93,992.0,19.4,40.0258,train
203,P8677,2025-06-03 20:00:00,26.27,113.36,193.0,郴州市,大枧,永兴县,21.02,100,984.9,18.3,32.4694,train
204,P6613,2025-06-03 20:00:00,26.28,110.1,820.8,邵阳市,长安营,城步苗族自治县,17.26,100,916.0,15.2,37.4615,train
205,P4095,2025-06-03 20:00:00,26.29,109.94,433.1,怀化市,石岩,通道侗族自治县,17.44,93,959.1,16.5,39.3074,test
206,P6579,2025-06-03 20:00:00,26.29,110.78,338.5,邵阳市,崀山,新宁县,19.24,100,970.1,16.9,49.4702,train
207,P7627,2025-06-03 20:00:00,26.29,112.1,148.3,永州市,金洞林场,祁阳市,20.86,98,990.2,18.5,36.2199,train
208,P7235,2025-06-03 20:00:00,26.29,112.92,210.4,衡阳市,易成,耒阳市,21.66,95,985.8,19.6,42.6513,train
209,P8280,2025-06-03 20:00:00,26.29,113.46,217.0,郴州市,七甲,永兴县,21.34,99,982.0,18.7,42.6216,train
210,P6612,2025-06-03 20:00:00,26.3,110.42,606.8,邵阳市,兰蓉,城步苗族自治县,17.26,100,940.5,15.2,37.4615,test
211,P5833,2025-06-03 20:00:00,26.3,113.67,338.4,株洲市,船形,炎陵县,21.69,100,968.4,18.8,39.5403,train
212,P6977,2025-06-03 20:00:00,26.31,112.27,194.0,衡阳市,土桥,常宁市,20.57,88,986.0,20.0,37.5269,train
213,P7215,2025-06-03 20:00:00,26.31,112.74,120.8,衡阳市,磨形,耒阳市,20.47,98,994.9,18.2,40.1798,train
214,P8274,2025-06-03 20:00:00,26.31,113.22,184.2,郴州市,太和,永兴县,22.06,95,986.5,19.9,45.6402,train
215,P4023,2025-06-03 20:00:00,26.32,109.46,397.0,怀化市,靖州县新厂,靖州苗族侗族自治县,18.86,92,964.4,17.9,35.0644,test
216,P4093,2025-06-03 20:00:00,26.33,109.34,482.0,怀化市,平茶,靖州苗族侗族自治县,18.79,94,955.0,17.5,34.9625,train
217,P8236,2025-06-03 20:00:00,26.33,113.3,181.0,郴州市,石壁垄水库,永兴县,21.75,96,988.4,19.5,42.6936,train
218,P3739,2025-06-03 20:00:00,26.35,109.77,382.8,怀化市,下寨,通道侗族自治县,20.47,98,966.5,18.2,37.4745,train
219,P6610,2025-06-03 20:00:00,26.35,110.24,424.5,邵阳市,丹口,城步苗族自治县,18.64,100,959.5,16.4,39.3329,train
220,P6953,2025-06-03 20:00:00,26.35,112.34,118.0,衡阳市,胜桥,常宁市,21.61,96,995.2,19.4,54.4712,test
221,P5871,2025-06-03 20:00:00,26.35,113.98,1503.3,株洲市,梨树洲,炎陵县,14.02,100,844.8,12.0,25.6925,train
222,P7513,2025-06-03 20:00:00,26.36,111.1,245.0,永州市,大庙口,东安县,19.76,97,978.6,17.8,35.7569,train
223,P6955,2025-06-03 20:00:00,26.36,112.63,86.0,衡阳市,荫田,常宁市,21.17,97,999.0,18.9,51.5268,train
224,P5827,2025-06-03 20:00:00,26.36,113.67,312.0,株洲市,澎溪,炎陵县,21.02,100,972.5,18.3,37.9113,train
225,P4167,2025-06-03 20:00:00,26.37,109.66,349.9,怀化市,县溪镇江口,通道侗族自治县,20.68,99,965.7,18.2,43.3019,test
226,57857,2025-06-03 20:00:00,26.37,110.31,477.7,邵阳市,城步,城步苗族自治县,17.63,86,954.9,17.9,40.3709,train
227,P7591,2025-06-03 20:00:00,26.37,111.54,186.0,永州市,仁湾镇飞机场,冷水滩区,21.0,91,983.8,19.8,40.1931,train
228,P8077,2025-06-03 20:00:00,26.37,111.87,119.9,永州市,大忠桥政府,祁阳市,23.23,100,993.8,19.9,49.6468,train
229,P6969,2025-06-03 20:00:00,26.37,112.22,142.0,衡阳市,官岭,常宁市,21.25,98,992.3,18.8,42.7711,train
230,P6974,2025-06-03 20:00:00,26.37,112.32,97.0,衡阳市,兰江,常宁市,21.04,97,997.1,18.8,44.343,test
231,P7227,2025-06-03 20:00:00,26.37,112.68,108.0,衡阳市,白毛,耒阳市,20.43,96,995.8,18.5,41.3582,train
232,P5858,2025-06-03 20:00:00,26.37,113.79,284.0,株洲市,木湾,炎陵县,22.8,100,974.8,19.6,45.9024,train
233,P8082,2025-06-03 20:00:00,26.38,111.49,206.2,永州市,凡龙圩,东安县,20.64,94,983.6,19.0,30.9103,train
234,P7213,2025-06-03 20:00:00,26.39,112.76,135.4,衡阳市,观前,耒阳市,21.43,97,995.2,19.1,49.4941,train
235,P5836,2025-06-03 20:00:00,26.39,113.62,328.0,株洲市,东风,炎陵县,20.76,100,970.8,18.1,39.811,test
236,P5828,2025-06-03 20:00:00,26.39,113.64,209.6,株洲市,天星,炎陵县,21.69,100,984.2,18.8,41.5544,train
237,P5872,2025-06-03 20:00:00,26.39,113.87,951.9,株洲市,仙坪,炎陵县,18.93,99,903.4,16.8,36.8797,train
238,57867,2025-06-03 20:00:00,26.4,111.29,169.0,永州市,东安,东安县,22.28,93,988.5,20.4,47.0386,train
239,P6952,2025-06-03 20:00:00,26.4,112.28,101.0,衡阳市,应伏,常宁市,22.15,99,995.6,19.3,47.8916,train
240,P3909,2025-06-03 20:00:00,26.41,109.43,398.3,怀化市,藕团,靖州苗族侗族自治县,19.01,91,964.7,18.2,38.5402,test
241,57874,2025-06-03 20:00:00,26.41,112.39,116.6,衡阳市,常宁,常宁市,21.83,90,994.8,20.6,52.158,train
242,P7572,2025-06-03 20:00:00,26.42,111.6,106.0,永州市,宋家州公园,冷水滩区,22.26,89,996.2,21.1,47.6008,train
243,P6970,2025-06-03 20:00:00,26.42,112.51,126.0,衡阳市,梅花,常宁市,20.39,97,994.4,18.3,54.6995,train
244,P6480,2025-06-03 20:00:00,26.43,110.05,504.0,邵阳市,黄桑,绥宁县,18.4,100,957.9,16.2,36.3371,train
245,P8070,2025-06-03 20:00:00,26.43,111.63,107.0,永州市,桐木井,冷水滩区,20.97,87,993.5,20.5,38.0437,test
246,P8076,2025-06-03 20:00:00,26.43,112.07,87.1,永州市,进宝塘,祁阳市,23.37,100,997.3,20.0,43.9828,train
247,P6960,2025-06-03 20:00:00,26.43,112.18,189.5,衡阳市,大堡,常宁市,21.08,96,986.7,19.0,38.6568,train
248,57876,2025-06-03 20:00:00,26.43,112.83,135.0,衡阳市,耒阳,耒阳市,22.52,94,992.5,20.4,51.3463,train
249,P5829,2025-06-03 20:00:00,26.43,114.02,1313.5,株洲市,大院农场,炎陵县,14.42,97,865.9,12.9,41.9288,train
250,P6574,2025-06-03 20:00:00,26.44,110.62,643.0,邵阳市,麻林,新宁县,17.15,100,932.6,15.1,33.0691,test
251,P6973,2025-06-03 20:00:00,26.44,112.38,102.0,衡阳市,培元,常宁市,22.02,96,996.5,19.7,57.963,train
252,P8273,2025-06-03 20:00:00,26.44,113.24,218.0,郴州市,牛形垅水库,永兴县,22.37,100,982.7,19.3,53.8732,train
253,P4094,2025-06-03 20:00:00,26.45,109.9,381.9,怀化市,联团,通道侗族自治县,20.16,99,960.7,17.8,45.1442,train
254,P7510,2025-06-03 20:00:00,26.45,111.22,346.0,永州市,水岭,东安县,20.76,100,966.0,18.1,34.2619,train
255,P6972,2025-06-03 20:00:00,26.45,112.36,103.0,衡阳市,宜阳,常宁市,21.48,96,995.8,19.3,50.6665,test
256,P6961,2025-06-03 20:00:00,26.45,112.43,185.0,衡阳市,曲潭,常宁市,21.7,94,987.6,19.8,44.3862,train
257,57851,2025-06-03 20:00:00,26.46,110.83,346.1,邵阳市,新宁,新宁县,20.63,100,969.2,18.0,45.9123,train
258,P7634,2025-06-03 20:00:00,26.46,111.89,95.6,永州市,东泉,祁阳市,23.09,97,995.8,20.3,53.2474,train
259,P8214,2025-06-03 20:00:00,26.46,113.49,191.5,郴州市,茶安水库,安仁县,21.84,97,987.4,19.4,39.4053,train
260,P7623,2025-06-03 20:00:00,26.47,112.14,164.3,永州市,桐木,祁阳市,21.47,93,986.4,19.8,44.0302,test
261,P7208,2025-06-03 20:00:00,26.47,113.09,209.1,衡阳市,金枣坪,耒阳市,18.38,98,983.8,16.5,36.346,train
262,P6959,2025-06-03 20:00:00,26.48,112.64,108.0,衡阳市,烟洲,常宁市,21.48,96,994.8,19.3,40.3249,train
263,P5845,2025-06-03 20:00:00,26.48,113.65,182.8,株洲市,鹿原,炎陵县,22.24,100,986.9,19.2,45.1448,train
264,57886,2025-06-03 20:00:00,26.48,113.79,255.3,株洲市,炎陵,炎陵县,22.39,97,977.4,19.8,49.6082,train
265,P5826,2025-06-03 20:00:00,26.48,113.91,483.5,株洲市,安康,炎陵县,20.63,100,953.0,18.0,38.3696,test
266,P7621,2025-06-03 20:00:00,26.49,111.78,150.0,永州市,板桥,祁阳市,23.86,99,990.9,20.5,59.3562,train
267,P7236,2025-06-03 20:00:00,26.49,112.89,93.9,衡阳市,架江,耒阳市,20.6,98,997.4,18.3,53.4797,train
268,P7507,2025-06-03 20:00:00,26.5,111.45,150.1,永州市,端桥铺,东安县,20.81,93,991.7,19.3,43.0602,train
269,57865,2025-06-03 20:00:00,26.5,111.62,192.8,永州市,冷水滩,冷水滩区,23.33,98,986.1,20.3,46.5347,train
270,P7106,2025-06-03 20:00:00,26.5,112.27,87.8,衡阳市,河洲,祁东县,22.62,98,996.4,19.8,55.0511,test
271,P6963,2025-06-03 20:00:00,26.5,112.52,86.0,衡阳市,蓬塘,常宁市,21.3,97,997.1,19.0,43.6625,train
272,P7229,2025-06-03 20:00:00,26.5,112.85,128.6,衡阳市,大胜,耒阳市,23.08,100,994.8,19.8,52.1637,train
273,P5824,2025-06-03 20:00:00,26.5,114.04,848.6,株洲市,桃源洞,炎陵县,17.15,100,914.0,15.1,25.849,train
274,P3823,2025-06-03 20:00:00,26.51,109.53,450.0,怀化市,靖州县排牙山,靖州苗族侗族自治县,19.55,93,957.7,18.3,38.8319,train
275,P6605,2025-06-03 20:00:00,26.51,110.35,435.2,邵阳市,蒋坊,城步苗族自治县,16.17,89,956.8,16.0,37.2317,test
276,P7620,2025-06-03 20:00:00,26.51,112.04,163.3,永州市,苦桔园水库,祁阳市,21.73,93,988.0,20.0,46.9733,train
277,P7233,2025-06-03 20:00:00,26.51,113.12,195.9,衡阳市,通林,耒阳市,20.52,97,985.1,18.4,44.8037,train
278,P5823,2025-06-03 20:00:00,26.51,113.8,210.0,株洲市,石子坝,炎陵县,19.91,89,975.3,19.3,37.9527,train
279,P6479,2025-06-03 20:00:00,26.52,109.93,579.0,邵阳市,乐安,绥宁县,18.93,99,943.9,16.8,34.8844,train
280,P6609,2025-06-03 20:00:00,26.52,110.42,476.6,邵阳市,茅坪,城步苗族自治县,19.49,100,953.5,17.1,47.3231,test
281,P6975,2025-06-03 20:00:00,26.52,112.36,108.9,衡阳市,茶山,常宁市,21.12,98,994.5,18.7,48.3762,train
282,P7638,2025-06-03 20:00:00,26.53,112.11,111.0,永州市,大书,祁阳市,22.57,99,994.6,19.6,50.1621,train
283,P6570,2025-06-03 20:00:00,26.54,110.95,283.5,邵阳市,黄龙,新宁县,19.91,99,971.8,17.6,38.9873,train
284,P6965,2025-06-03 20:00:00,26.54,112.46,99.3,衡阳市,柏坊,常宁市,22.76,98,995.9,19.9,56.0068,train
285,P6976,2025-06-03 20:00:00,26.54,112.61,79.8,衡阳市,水邻,常宁市,22.25,97,997.5,19.7,44.7498,test
286,P5867,2025-06-03 20:00:00,26.54,114.04,764.6,株洲市,青石岗,炎陵县,19.86,100,922.4,17.4,39.8898,train
287,57868,2025-06-03 20:00:00,26.55,111.86,163.3,永州市,祁阳,祁阳市,23.12,93,989.2,21.0,50.9899,train
288,P8205,2025-06-03 20:00:00,26.55,113.28,157.0,郴州市,灵官,安仁县,22.25,97,988.9,19.7,55.1646,train
289,P5821,2025-06-03 20:00:00,26.55,113.62,181.5,株洲市,青年水库,茶陵县,23.23,100,986.0,19.9,41.4484,train
290,P5822,2025-06-03 20:00:00,26.55,113.93,286.5,株洲市,十都,炎陵县,22.15,99,975.7,19.3,46.5303,test
291,57841,2025-06-03 20:00:00,26.56,109.67,320.3,怀化市,靖州,靖州苗族侗族自治县,21.66,95,971.6,19.6,46.8179,train
