id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
53,P8090,2025-06-03 00:00:00,25.47,111.8,212.0,永州市,梅岗,宁远县,22.42,93.0,983.1,20.5,42.0178,train
54,P7951,2025-06-03 00:00:00,25.47,112.34,262.5,永州市,太平圩,蓝山县,21.56,94.0,978.8,19.7,44.8982,train
55,P8658,2025-06-03 00:00:00,25.47,112.61,620.6,郴州市,镇南,临武县,19.61,100.0,939.0,17.2,33.145,train
56,P8706,2025-06-03 00:00:00,25.47,113.12,357.9,郴州市,杨梅山,宜章县,21.39,98.0,967.4,18.9,43.2179,train
57,P8091,2025-06-03 00:00:00,25.48,112.01,234.9,永州市,湾井,宁远县,22.94,100.0,980.9,19.7,51.1334,train
58,P7886,2025-06-03 00:00:00,25.49,111.39,356.0,永州市,月岩,道县,20.6,98.0,967.7,18.3,47.1149,train
59,P8765,2025-06-03 00:00:00,25.49,113.65,608.0,郴州市,泉水,汝城县,19.76,94.0,939.6,18.3,36.6662,train
61,P8593,2025-06-03 00:00:00,25.51,112.38,256.0,郴州市,邓林,嘉禾县,21.66,95.0,979.6,19.6,41.3816,train
62,P8407,2025-06-03 00:00:00,25.51,112.65,696.0,郴州市,荷叶,桂阳县,18.64,100.0,929.9,16.4,44.2697,train
63,P7890,2025-06-03 00:00:00,25.52,111.7,181.0,永州市,白芒铺,道县,21.83,94.0,985.8,19.9,49.6649,train
64,P8598,2025-06-03 00:00:00,25.52,112.46,281.0,郴州市,泮头水库,嘉禾县,21.23,92.0,975.3,19.8,41.679,train
65,P8888,2025-06-03 00:00:00,25.52,112.76,1168.0,郴州市,太山里,北湖区,16.29,100.0,878.8,14.3,36.5361,train
66,P8772,2025-06-03 00:00:00,25.52,113.91,358.0,郴州市,热水,汝城县,22.25,97.0,967.6,19.7,35.4451,train
67,57965,2025-06-03 00:00:00,25.53,111.6,192.7,永州市,道县,道县,22.14,93.0,986.2,20.3,52.6,train
68,P8386,2025-06-03 00:00:00,25.53,112.8,1205.0,郴州市,十亩田,北湖区,16.18,100.0,875.1,14.2,36.8845,train
69,P8751,2025-06-03 00:00:00,25.53,113.37,475.7,郴州市,文明水库,汝城县,20.73,95.0,954.0,18.9,29.4227,train
71,P8383,2025-06-03 00:00:00,25.55,112.89,810.0,郴州市,永春,北湖区,18.04,92.0,918.4,17.2,23.6373,train
72,57985,2025-06-03 00:00:00,25.56,113.69,648.2,郴州市,汝城,汝城县,20.24,100.0,935.5,17.7,53.2,train
73,P8375,2025-06-03 00:00:00,25.57,112.72,342.0,郴州市,鲁塘,北湖区,20.77,94.0,968.3,19.1,45.5023,train
74,57974,2025-06-03 00:00:00,25.58,112.37,214.5,郴州市,嘉禾,嘉禾县,24.1,100.0,983.8,20.5,44.5623,train
75,P8234,2025-06-03 00:00:00,25.58,112.4,318.0,郴州市,车头,嘉禾县,20.81,93.0,972.5,19.3,44.0732,train
76,57966,2025-06-03 00:00:00,25.59,111.96,243.1,永州市,宁远,宁远县,21.93,91.0,980.2,20.5,52.7,train
77,P7963,2025-06-03 00:00:00,25.59,112.23,381.0,永州市,甘溪,蓝山县,20.9,90.0,963.2,19.9,45.7582,train
78,P8758,2025-06-03 00:00:00,25.59,113.63,633.0,郴州市,金宝,汝城县,20.09,95.0,937.7,18.4,39.4887,train
