time,k_zhe,neighborhood_size,correlation,mean_error,mae,rmse,r2
01,10,30,0.5171584733092622,-0.2085540995399125,4.574780411512488,6.083831088243426,-0.8825913818550666
01,10,50,0.5144001074695512,-0.3264478627450203,4.579436380100482,6.069767104290946,-1.1658825503477517
01,10,12,0.5004783953577687,-0.22584924034020515,4.845850606506553,6.302283206228181,-0.5266190386825331
01,10,20,0.5226642587269386,-0.15925385884193627,4.646542494363189,6.089005706007969,-0.6948502835762711
01,10,15,0.5126528512977648,-0.222380631794073,4.717494716274247,6.1812508055552255,-0.6110763039026814
01,20,20,0.4467941784152695,-0.05693228859650306,5.114620663237709,6.598076742016869,-0.8592244996525509
12,10,20,0.5440936345028229,0.963422296520302,5.222799876333603,6.787594988004778,-0.7231012489366604
01,10,3,0.457668357506336,0.18744002221710712,5.282679970731897,6.979885790475623,-0.22753062642240507
00,10,30,0.5600614666639103,-0.18515627154407266,4.7898560433476325,6.184246565606932,-0.9344249874804949
